Metric,Amount,endDate
"Financing Receivable, Net",18238000,2015-12-31
"Financing Receivable, Net",16803000,2016-12-31
Assets,6479991000,2015-12-31
Assets,6104640000,2016-12-31
Long-term Debt,4710628000,2015-12-31
Long-term Debt,4465294000,2016-12-31
"Variable Interest Entity, Consolidated, Carrying Amount, Assets",144800000,2015-12-31
"Variable Interest Entity, Consolidated, Carrying Amount, Assets",659494000,2016-12-31
"Variable Interest Entity, Consolidated, Carrying Amount, Liabilities",101908000,2015-12-31
"Variable Interest Entity, Consolidated, Carrying Amount, Liabilities",616386000,2016-12-31
