Metric,Amount,endDate
Cash and Due from Banks,1099000000,2015-12-31
Cash and Due from Banks,955000000,2016-12-31
Interest-bearing Cash and Due from Banks,1986000000,2015-12-31
Interest-bearing Cash and Due from Banks,2000000000,2015-12-31
Interest-bearing Cash and Due from Banks,2700000000,2016-12-31
Interest-bearing Cash and Due from Banks,2749000000,2016-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,356000000,2015-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,439000000,2016-12-31
Available-for-sale Securities,17884000000,2015-12-31
Available-for-sale Securities,19501000000,2016-12-31
Held-to-maturity Securities,5258000000,2015-12-31
Held-to-maturity Securities,5071000000,2016-12-31
Other Investment Securities,70000000,2015-12-31
Other Investment Securities,96000000,2016-12-31
Federal Home Loan Bank Stock and Federal Reserve Bank Stock,863000000,2015-12-31
Federal Home Loan Bank Stock and Federal Reserve Bank Stock,942000000,2016-12-31
"Loans Receivable Held-for-sale, Amount",325000000,2015-12-31
"Loans Receivable Held-for-sale, Amount",583000000,2016-12-31
"Other Loans Receivable Held-for-sale, Amount",40000000,2015-12-31
"Other Loans Receivable Held-for-sale, Amount",42000000,2016-12-31
"Loans and Leases Receivable, Gross",99042000000,2015-12-31
"Loans and Leases Receivable, Gross",107669000000,2016-12-31
"Loans and Leases Receivable, Allowance",1216000000,2015-12-31
"Loans and Leases Receivable, Allowance",1236000000,2016-12-31
"Loans and Leases Receivable, Net Amount",97826000000,2015-12-31
"Loans and Leases Receivable, Net Amount",106433000000,2016-12-31
Derivative Asset,625000000,2015-12-31
Derivative Asset,627000000,2016-12-31
"Property, Plant and Equipment, Net",595000000,2015-12-31
"Property, Plant and Equipment, Net",601000000,2016-12-31
Bank Owned Life Insurance,1564000000,2015-12-31
Bank Owned Life Insurance,1612000000,2016-12-31
Goodwill,6876000000,2014-12-31
Goodwill,6876000000,2015-12-31
Goodwill,6876000000,2016-12-31
Other Assets,2841000000,2015-12-31
Other Assets,2993000000,2016-12-31
Assets,138208000000,2015-12-31
Assets,149520000000,2016-12-31
Noninterest-bearing Deposit Liabilities,27649000000,2015-12-31
Noninterest-bearing Deposit Liabilities,28472000000,2016-12-31
Interest-bearing Deposit Liabilities,74890000000,2015-12-31
Interest-bearing Deposit Liabilities,81332000000,2016-12-31
Deposits,102539000000,2015-12-31
Deposits,109804000000,2016-12-31
Federal Funds Purchased and Securities Sold under Agreements to Repurchase,802000000,2015-12-31
Federal Funds Purchased and Securities Sold under Agreements to Repurchase,1148000000,2016-12-31
Other Short-term Borrowings,2630000000,2015-12-31
Other Short-term Borrowings,3211000000,2016-12-31
Derivative Liability,485000000,2015-12-31
Derivative Liability,659000000,2016-12-31
"Deferred Tax Liabilities, Net",730000000,2015-12-31
"Deferred Tax Liabilities, Net",714000000,2016-12-31
Long-term Debt,9886000000,2015-12-31
Long-term Debt,12790000000,2016-12-31
Other Liabilities,1490000000,2015-12-31
Other Liabilities,1447000000,2016-12-31
Liabilities,118562000000,2015-12-31
Liabilities,129773000000,2016-12-31
Commitments and Contingencies,,2015-12-31
Commitments and Contingencies,,2016-12-31
"Preferred Stock, Value, Issued",247000000,2015-12-31
"Preferred Stock, Value, Issued",247000000,2016-12-31
"Common Stock, Value, Issued",6000000,2015-12-31
"Common Stock, Value, Issued",6000000,2016-12-31
Additional Paid in Capital,18725000000,2015-12-31
Additional Paid in Capital,18722000000,2016-12-31
Retained Earnings (Accumulated Deficit),1913000000,2015-12-31
Retained Earnings (Accumulated Deficit),2703000000,2016-12-31
"Treasury Stock, Value",858000000,2015-12-31
"Treasury Stock, Value",1263000000,2016-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-387000000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-668000000,2016-12-31
Stockholders' Equity Attributable to Parent,19196000000,2013-12-31
Stockholders' Equity Attributable to Parent,19268000000,2014-12-31
Stockholders' Equity Attributable to Parent,19646000000,2015-12-31
Stockholders' Equity Attributable to Parent,19747000000,2016-12-31
Liabilities and Equity,138208000000,2015-12-31
Liabilities and Equity,149520000000,2016-12-31
