Metric,Amount,endDate
Cash and Due from Banks,24886000,2015-12-31
Cash and Due from Banks,28205000,2016-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,1299000,2015-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,45957000,2016-12-31
"Cash and Cash Equivalents, at Carrying Value",51609000,2013-12-31
"Cash and Cash Equivalents, at Carrying Value",29163000,2014-12-31
"Cash and Cash Equivalents, at Carrying Value",26185000,2015-12-31
"Cash and Cash Equivalents, at Carrying Value",74162000,2016-12-31
Trading Securities,701000,2015-12-31
Trading Securities,774000,2016-12-31
Available-for-sale Securities,344820000,2015-12-31
Available-for-sale Securities,303402000,2016-12-31
Held-to-maturity Securities,4566000,2015-12-31
Held-to-maturity Securities,4705000,2016-12-31
Federal Home Loan Bank Stock and Federal Reserve Bank Stock,4797000,2015-12-31
Federal Home Loan Bank Stock and Federal Reserve Bank Stock,4041000,2016-12-31
"Loans and Leases Receivable, Net of Deferred Income",1168633000,2015-12-31
"Loans and Leases Receivable, Net of Deferred Income",1200290000,2016-12-31
"Loans and Leases Receivable, Allowance",14260000,2015-12-31
"Loans and Leases Receivable, Allowance",14253000,2016-12-31
"Loans and Leases Receivable, Net Amount",1154373000,2015-12-31
"Loans and Leases Receivable, Net Amount",1186037000,2016-12-31
"Loans Receivable Held-for-sale, Net, Not Part of Disposal Group",1076000,2015-12-31
"Loans Receivable Held-for-sale, Net, Not Part of Disposal Group",412000,2016-12-31
"Property, Plant and Equipment, Net",29397000,2015-12-31
"Property, Plant and Equipment, Net",28923000,2016-12-31
Goodwill,21824000,2014-12-31
Goodwill,21824000,2015-12-31
Goodwill,21824000,2016-12-31
"Intangible Assets, Net (Excluding Goodwill)",3931000,2015-12-31
"Intangible Assets, Net (Excluding Goodwill)",2945000,2016-12-31
Bank Owned Life Insurance,2839000,2015-12-31
Bank Owned Life Insurance,2912000,2016-12-31
Interest Receivable and Other Assets,25455000,2015-12-31
Interest Receivable and Other Assets,27042000,2016-12-31
Assets,1524539000,2014-12-31
Assets,1619964000,2015-12-31
Assets,1657179000,2016-12-31
Noninterest-bearing Deposit Liabilities,402236000,2015-12-31
Noninterest-bearing Deposit Liabilities,417812000,2016-12-31
Interest-bearing Deposit Liabilities,998059000,2015-12-31
Interest-bearing Deposit Liabilities,1038531000,2016-12-31
Deposits,1400295000,2015-12-31
Deposits,1456343000,2016-12-31
"Long-term Federal Home Loan Bank Advances, Current",13900000,2015-12-31
"Long-term Federal Home Loan Bank Advances, Current",0,2016-12-31
Securities Sold under Agreements to Repurchase,29652000,2014-12-31
Securities Sold under Agreements to Repurchase,28453000,2015-12-31
Securities Sold under Agreements to Repurchase,27606000,2016-12-31
"Long-term Federal Home Loan Bank Advances, Noncurrent",19203000,2015-12-31
"Long-term Federal Home Loan Bank Advances, Noncurrent",9093000,2016-12-31
Capital Lease Obligations,2873000,2015-12-31
Capital Lease Obligations,4722000,2016-12-31
Dividends Payable,1204000,2014-12-31
Dividends Payable,1214000,2015-12-31
Dividends Payable,1225000,2016-12-31
Accounts Payable and Other Accrued Liabilities,16784000,2015-12-31
Accounts Payable and Other Accrued Liabilities,14442000,2016-12-31
Liabilities,1482722000,2015-12-31
Liabilities,1513431000,2016-12-31
"Common Stock, Value, Issued",53000,2015-12-31
"Common Stock, Value, Issued",53000,2016-12-31
"Additional Paid in Capital, Common Stock",45537000,2015-12-31
"Additional Paid in Capital, Common Stock",45603000,2016-12-31
Retained Earnings (Accumulated Deficit),118973000,2015-12-31
Retained Earnings (Accumulated Deficit),124111000,2016-12-31
"Treasury Stock, Value",16379000,2015-12-31
"Treasury Stock, Value",15265000,2016-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-10942000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-10754000,2016-12-31
Stockholders' Equity Attributable to Parent,138578000,2013-12-31
Stockholders' Equity Attributable to Parent,133628000,2014-12-31
Stockholders' Equity Attributable to Parent,137242000,2015-12-31
Stockholders' Equity Attributable to Parent,143748000,2016-12-31
Liabilities and Equity,1619964000,2015-12-31
Liabilities and Equity,1657179000,2016-12-31
