Metric,Amount,endDate
Cash and Due from Banks,1157000000,2015-12-31
Cash and Due from Banks,1249000000,2016-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,4990000000,2015-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,5969000000,2016-12-31
Other Short-term Investments,113000000,2015-12-31
Other Short-term Investments,92000000,2016-12-31
Available-for-sale Securities,10519000000,2015-12-31
Available-for-sale Securities,10787000000,2016-12-31
Held-to-maturity Securities,1981000000,2015-12-31
Held-to-maturity Securities,1582000000,2016-12-31
Loans Receivable Commercial Financial and Agricultural Net of Deferred Income,31659000000,2015-12-31
Loans Receivable Commercial Financial and Agricultural Net of Deferred Income,30994000000,2016-12-31
Real Estate Construction Loans Net of Deferred Income,2001000000,2015-12-31
Real Estate Construction Loans Net of Deferred Income,2869000000,2016-12-31
Loans Receivable Commercial Mortgage Net of Deferred Income,8977000000,2015-12-31
Loans Receivable Commercial Mortgage Net of Deferred Income,8931000000,2016-12-31
Leases Receivable Commercial Lease Financing Net of Deferred Income,724000000,2015-12-31
Leases Receivable Commercial Lease Financing Net of Deferred Income,572000000,2016-12-31
Loans and Leases Receivable Foreign Net of Deferred Income Other,1368000000,2015-12-31
Loans and Leases Receivable Foreign Net of Deferred Income Other,1258000000,2016-12-31
Loans and Leases Receivable Consumer Mortgage Net of Deferred Income,1870000000,2015-12-31
Loans and Leases Receivable Consumer Mortgage Net of Deferred Income,1942000000,2016-12-31
Loans and Leases Receivable Consumer Loans Net of Deferred Income,2485000000,2015-12-31
Loans and Leases Receivable Consumer Loans Net of Deferred Income,2522000000,2016-12-31
"Loans and Leases Receivable, Net of Deferred Income",49084000000,2015-12-31
"Loans and Leases Receivable, Net of Deferred Income",49088000000,2016-12-31
"Loans and Leases Receivable, Allowance",634000000,2015-12-31
"Loans and Leases Receivable, Allowance",730000000,2016-12-31
"Loans and Leases Receivable, Net Amount",48450000000,2015-12-31
"Loans and Leases Receivable, Net Amount",48358000000,2016-12-31
"Property, Plant and Equipment, Net",550000000,2015-12-31
"Property, Plant and Equipment, Net",501000000,2016-12-31
Other Assets,4117000000,2015-12-31
Other Assets,4440000000,2016-12-31
Assets,71877000000,2015-12-31
Assets,72978000000,2016-12-31
Noninterest-bearing Deposit Liabilities,30839000000,2015-12-31
Noninterest-bearing Deposit Liabilities,31540000000,2016-12-31
"Deposits, Money Market Deposits and Negotiable Order of Withdrawal (NOW)",23532000000,2015-12-31
"Deposits, Money Market Deposits and Negotiable Order of Withdrawal (NOW)",22556000000,2016-12-31
"Deposits, Savings Deposits",1898000000,2015-12-31
"Deposits, Savings Deposits",2064000000,2016-12-31
"Deposits, Customer Certificates Deposits",3552000000,2015-12-31
"Deposits, Customer Certificates Deposits",2806000000,2016-12-31
"Interest-bearing Foreign Deposit, Time Deposits",32000000,2015-12-31
"Interest-bearing Foreign Deposit, Time Deposits",19000000,2016-12-31
Interest-bearing Deposit Liabilities,29014000000,2015-12-31
Interest-bearing Deposit Liabilities,27445000000,2016-12-31
Deposits,59853000000,2015-12-31
Deposits,58985000000,2016-12-31
Short-term Debt,23000000,2015-12-31
Short-term Debt,25000000,2016-12-31
Other Liabilities,1383000000,2015-12-31
Other Liabilities,1012000000,2016-12-31
Long-term Debt,3058000000,2015-12-31
Long-term Debt,5160000000,2016-12-31
Liabilities,64317000000,2015-12-31
Liabilities,65182000000,2016-12-31
"Common Stock, Value, Issued",1141000000,2015-12-31
"Common Stock, Value, Issued",1141000000,2016-12-31
"Additional Paid in Capital, Common Stock",2173000000,2015-12-31
"Additional Paid in Capital, Common Stock",2135000000,2016-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-412000000,2014-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-429000000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-383000000,2016-12-31
Retained Earnings (Accumulated Deficit),7084000000,2015-12-31
Retained Earnings (Accumulated Deficit),7331000000,2016-12-31
"Treasury Stock, Value",2409000000,2015-12-31
"Treasury Stock, Value",2428000000,2016-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",7150000000,2013-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",7402000000,2014-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",7560000000,2015-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",7796000000,2016-12-31
Liabilities and Equity,71877000000,2015-12-31
Liabilities and Equity,72978000000,2016-12-31
