Metric,Amount,endDate
Cash and Due from Banks,3407000000,2015-12-31
Cash and Due from Banks,4185000000,2016-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,4616000000,2015-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,5791000000,2016-12-31
"Cash, Cash Equivalents, and Federal Funds Sold",6291000000,2013-12-31
"Cash, Cash Equivalents, and Federal Funds Sold",7242000000,2014-12-31
"Cash, Cash Equivalents, and Federal Funds Sold",8023000000,2015-12-31
"Cash, Cash Equivalents, and Federal Funds Sold",9976000000,2016-12-31
Restricted Cash and Cash Equivalents,1017000000,2015-12-31
Restricted Cash and Cash Equivalents,2517000000,2016-12-31
Available-for-sale Securities,39061000000,2015-12-31
Available-for-sale Securities,40737000000,2016-12-31
Held-to-maturity Securities,24619000000,2015-12-31
Held-to-maturity Securities,25712000000,2016-12-31
"Loans and Leases Receivable, Gross",208316000000,2014-12-31
"Loans and Leases Receivable, Gross",229851000000,2015-12-31
"Loans and Leases Receivable, Gross",245586000000,2016-12-31
"Loans and Leases Receivable, Allowance",5130000000,2015-12-31
"Loans and Leases Receivable, Allowance",6503000000,2016-12-31
"Loans and Leases Receivable, Net Amount",224721000000,2015-12-31
"Loans and Leases Receivable, Net Amount",239083000000,2016-12-31
"Loans Receivable Held-for-sale, Net, Not Part of Disposal Group",904000000,2015-12-31
"Loans Receivable Held-for-sale, Net, Not Part of Disposal Group",1043000000,2016-12-31
"Property, Plant and Equipment, Net",3584000000,2015-12-31
"Property, Plant and Equipment, Net",3675000000,2016-12-31
Interest Receivable,1189000000,2015-12-31
Interest Receivable,1351000000,2016-12-31
Goodwill,13978000000,2014-12-31
Goodwill,14480000000,2015-12-31
Goodwill,14519000000,2016-12-31
Other Assets,16450000000,2015-12-31
Other Assets,18420000000,2016-12-31
Assets,334048000000,2015-12-31
Assets,357033000000,2016-12-31
Interest Payable,299000000,2015-12-31
Interest Payable,327000000,2016-12-31
Noninterest-bearing Deposit Liabilities,25847000000,2015-12-31
Noninterest-bearing Deposit Liabilities,25502000000,2016-12-31
Interest-bearing Deposit Liabilities,191874000000,2015-12-31
Interest-bearing Deposit Liabilities,211266000000,2016-12-31
Deposits,205548000000,2014-12-31
Deposits,217721000000,2015-12-31
Deposits,236768000000,2016-12-31
Secured Debt,16166000000,2015-12-31
Secured Debt,18826000000,2016-12-31
Federal Funds Purchased and Securities Sold under Agreements to Repurchase,981000000,2015-12-31
Federal Funds Purchased and Securities Sold under Agreements to Repurchase,992000000,2016-12-31
Unsecured Debt,21837000000,2015-12-31
Unsecured Debt,23431000000,2016-12-31
Other Borrowings,20131000000,2015-12-31
Other Borrowings,17211000000,2016-12-31
"Debt, Excluding Secured Debt",42949000000,2015-12-31
"Debt, Excluding Secured Debt",41634000000,2016-12-31
Other Liabilities,9629000000,2015-12-31
Other Liabilities,11964000000,2016-12-31
Liabilities,286764000000,2015-12-31
Liabilities,309519000000,2016-12-31
"Preferred Stock, Value, Issued",0,2015-12-31
"Preferred Stock, Value, Issued",0,2016-12-31
"Common Stock, Value, Issued",6000000,2015-12-31
"Common Stock, Value, Issued",7000000,2016-12-31
Additional Paid in Capital,29655000000,2015-12-31
Additional Paid in Capital,31157000000,2016-12-31
Retained Earnings (Accumulated Deficit),27045000000,2015-12-31
Retained Earnings (Accumulated Deficit),29766000000,2016-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-872000000,2013-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-430000000,2014-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-616000000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-949000000,2016-12-31
"Treasury Stock, Common, Value",8806000000,2015-12-31
"Treasury Stock, Common, Value",12467000000,2016-12-31
Stockholders' Equity Attributable to Parent,41632000000,2013-12-31
Stockholders' Equity Attributable to Parent,45053000000,2014-12-31
Stockholders' Equity Attributable to Parent,47284000000,2015-12-31
Stockholders' Equity Attributable to Parent,47514000000,2016-12-31
Liabilities and Equity,334048000000,2015-12-31
Liabilities and Equity,357033000000,2016-12-31
