Metric,Amount,endDate
Cash and Due from Banks,179140000,2015-12-31
Cash and Due from Banks,204782000,2016-12-31
Federal Funds Sold,3810000,2015-12-31
Federal Funds Sold,3130000,2016-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,89936000,2015-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,48574000,2016-12-31
"Cash, Cash Equivalents, and Federal Funds Sold",212012000,2013-12-31
"Cash, Cash Equivalents, and Federal Funds Sold",253471000,2014-12-31
"Cash, Cash Equivalents, and Federal Funds Sold",272886000,2015-12-31
"Cash, Cash Equivalents, and Federal Funds Sold",256486000,2016-12-31
Interest Bearing Time Deposits In Banks,3495000,2015-12-31
Interest Bearing Time Deposits In Banks,1707000,2016-12-31
"Available-for-sale Securities, Debt Securities",2733899000,2015-12-31
"Available-for-sale Securities, Debt Securities",2860837000,2016-12-31
Held-to-maturity Securities,278000,2015-12-31
Held-to-maturity Securities,121000,2016-12-31
"Property, Plant and Equipment, Net",115712000,2015-12-31
"Property, Plant and Equipment, Net",122685000,2016-12-31
"Intangible Assets, Net (Including Goodwill)",144449000,2015-12-31
"Intangible Assets, Net (Including Goodwill)",143603000,2016-12-31
Other Assets,85635000,2015-12-31
Other Assets,86066000,2016-12-31
Assets,6665070000,2015-12-31
Assets,6809931000,2016-12-31
Noninterest-bearing Deposit Liabilities,1745952000,2015-12-31
Noninterest-bearing Deposit Liabilities,1717722000,2016-12-31
Interest-bearing Deposit Liabilities,3444217000,2015-12-31
Interest-bearing Deposit Liabilities,3760817000,2016-12-31
Deposits,5190169000,2015-12-31
Deposits,5478539000,2016-12-31
Dividends Payable,10558000,2015-12-31
Dividends Payable,11897000,2016-12-31
"Debt, Long-term and Short-term, Combined Amount",615675000,2015-12-31
"Debt, Long-term and Short-term, Combined Amount",445770000,2016-12-31
Other Liabilities,43682000,2015-12-31
Other Liabilities,35840000,2016-12-31
Liabilities,5860084000,2015-12-31
Liabilities,5972046000,2016-12-31
Commitments and Contingencies,,2015-12-31
Commitments and Contingencies,,2016-12-31
Liabilities and Equity,6665070000,2015-12-31
Liabilities and Equity,6809931000,2016-12-31
"Loans and Leases Receivable, Gross",3317050000,2015-12-31
"Loans and Leases Receivable, Gross",3357307000,2016-12-31
"Loans and Leases Receivable, Allowance",36824000,2014-12-31
"Loans and Leases Receivable, Allowance",41877000,2015-12-31
"Loans and Leases Receivable, Allowance",45779000,2016-12-31
"Loans and Leases Receivable, Net Amount",3275173000,2015-12-31
"Loans and Leases Receivable, Net Amount",3311528000,2016-12-31
"Loans Receivable Held-for-sale, Net, Not Part of Disposal Group, Mortgage",33543000,2015-12-31
"Loans Receivable Held-for-sale, Net, Not Part of Disposal Group, Mortgage",26898000,2016-12-31
"Loans Receivable, Net",3308716000,2015-12-31
"Loans Receivable, Net",3338426000,2016-12-31
"Common Stock, Value, Issued",660000,2015-12-31
"Common Stock, Value, Issued",661000,2016-12-31
"Additional Paid in Capital, Common Stock",368925000,2015-12-31
"Additional Paid in Capital, Common Stock",372245000,2016-12-31
Retained Earnings (Accumulated Deficit),388006000,2015-12-31
Retained Earnings (Accumulated Deficit),446534000,2016-12-31
"Treasury Stock, Value",6296000,2015-12-31
"Treasury Stock, Value",6671000,2016-12-31
"Deferred Employee Stock Ownership Plan, Issuance of Shares or Sale of Treasury Shares",6296000,2015-12-31
"Deferred Employee Stock Ownership Plan, Issuance of Shares or Sale of Treasury Shares",6671000,2016-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",47395000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",18445000,2016-12-31
Stockholders' Equity Attributable to Parent,587647000,2013-12-31
Stockholders' Equity Attributable to Parent,681537000,2014-12-31
Stockholders' Equity Attributable to Parent,804986000,2015-12-31
Stockholders' Equity Attributable to Parent,837885000,2016-12-31
