Metric,Amount,endDate
Cash and Due from Banks,480998000,2014-12-31
Cash and Due from Banks,380799000,2015-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,216426000,2014-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,83018000,2015-12-31
"Cash and Cash Equivalents, at Carrying Value",258014000,2012-12-31
"Cash and Cash Equivalents, at Carrying Value",917822000,2013-12-31
"Cash and Cash Equivalents, at Carrying Value",697424000,2014-12-31
"Cash and Cash Equivalents, at Carrying Value",463817000,2015-12-31
"Held-to-maturity Securities, Amortized Cost before Other than Temporary Impairment",2903609000,2014-12-31
"Held-to-maturity Securities, Amortized Cost before Other than Temporary Impairment",2674093000,2015-12-31
Available-for-sale Securities,3545288000,2014-12-31
Available-for-sale Securities,3967735000,2015-12-31
Other Investments,148654000,2014-12-31
Other Investments,148172000,2015-12-31
"Loans Held-for-sale, Fair Value Disclosure",13428000,2014-12-31
"Loans Held-for-sale, Fair Value Disclosure",5472000,2015-12-31
"Loans and Leases Receivable, Gross",15326147000,2014-12-31
"Loans and Leases Receivable, Gross",16076945000,2015-12-31
"Loans and Leases Receivable, Allowance",143649000,2014-12-31
"Loans and Leases Receivable, Allowance",153691000,2015-12-31
"Loans and Leases Receivable, Net Amount",15182498000,2014-12-31
"Loans and Leases Receivable, Net Amount",15923254000,2015-12-31
"Property, Plant and Equipment, Net",332297000,2014-12-31
"Property, Plant and Equipment, Net",319488000,2015-12-31
Goodwill,741740000,2014-12-31
Goodwill,741740000,2015-12-31
"Intangible Assets, Net (Excluding Goodwill)",71020000,2014-12-31
"Intangible Assets, Net (Excluding Goodwill)",60628000,2015-12-31
"Other Real Estate, Covered",49641000,2014-12-31
"Other Real Estate, Covered",2134000,2015-12-31
Other Assets,1216748000,2014-12-31
Other Assets,1218071000,2015-12-31
Assets,24902347000,2014-12-31
Assets,25524604000,2015-12-31
Noninterest-bearing Deposit Liabilities,5786662000,2014-12-31
Noninterest-bearing Deposit Liabilities,5942248000,2015-12-31
Interest-bearing Deposit Liabilities,3028888000,2014-12-31
Interest-bearing Deposit Liabilities,3476729000,2015-12-31
"Deposits, Savings Deposits",8399612000,2014-12-31
"Deposits, Savings Deposits",8450123000,2015-12-31
Time Deposits,2289503000,2014-12-31
Time Deposits,2238903000,2015-12-31
Deposits,19504665000,2014-12-31
Deposits,20108003000,2015-12-31
Federal Funds Purchased and Securities Sold under Agreements to Repurchase,1272591000,2014-12-31
Federal Funds Purchased and Securities Sold under Agreements to Repurchase,1037075000,2015-12-31
Other Borrowings,428071000,2014-12-31
Other Borrowings,580648000,2015-12-31
Long-term Debt,505192000,2014-12-31
Long-term Debt,505173000,2015-12-31
Accrued Liabilities,357547000,2014-12-31
Accrued Liabilities,353610000,2015-12-31
Liabilities,22068066000,2014-12-31
Liabilities,22584509000,2015-12-31
"Preferred Stock, Value, Issued",100000000,2014-12-31
"Preferred Stock, Value, Issued",100000000,2015-12-31
Warrants and Rights Outstanding,3000000,2014-12-31
Warrants and Rights Outstanding,0,2015-12-31
"Common Stock, Value, Issued",127937000,2014-12-31
"Common Stock, Value, Issued",127937000,2015-12-31
Additional Paid in Capital,1393090000,2014-12-31
Additional Paid in Capital,1386677000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-71892000,2014-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-79274000,2015-12-31
Retained Earnings (Accumulated Deficit),1404717000,2014-12-31
Retained Earnings (Accumulated Deficit),1519438000,2015-12-31
"Treasury Stock, Value",122571000,2014-12-31
"Treasury Stock, Value",114683000,2015-12-31
Stockholders' Equity Attributable to Parent,1645202000,2012-12-31
Stockholders' Equity Attributable to Parent,2702894000,2013-12-31
Stockholders' Equity Attributable to Parent,2834281000,2014-12-31
Stockholders' Equity Attributable to Parent,2940095000,2015-12-31
Liabilities and Equity,24902347000,2014-12-31
Liabilities and Equity,25524604000,2015-12-31
