Metric,Amount,endDate
"Loans and Leases Receivable, Net Amount",783967000,2015-12-31
"Loans and Leases Receivable, Net Amount",1042237000,2016-12-31
"Loans Receivable Held-for-sale, Net, Not Part of Disposal Group",60376000,2015-12-31
Available-for-sale Securities,29017000,2015-12-31
Available-for-sale Securities,58058000,2016-12-31
"Real Estate Investments, Net",155699000,2015-12-31
"Real Estate Investments, Net",172257000,2016-12-31
Equity Method Investments,318769000,2015-12-31
Equity Method Investments,363297000,2016-12-31
"Cash and Cash Equivalents, at Carrying Value",42645000,2015-12-31
"Cash and Cash Equivalents, at Carrying Value",29428000,2016-12-31
Other Assets,79148000,2015-12-31
Other Assets,80610000,2016-12-31
Assets,1469621000,2015-12-31
Assets,1745887000,2016-12-31
Accounts Payable and Accrued Liabilities,17875000,2015-12-31
Accounts Payable and Accrued Liabilities,25219000,2016-12-31
Contractual Obligation,108499000,2015-12-31
Contractual Obligation,170892000,2016-12-31
Long-term Line of Credit,247350000,2015-12-31
Long-term Line of Credit,283346000,2016-12-31
Non-Recourse Debt,663791000,2015-12-31
Non-Recourse Debt,692091000,2016-12-31
Liabilities,1037515000,2015-12-31
Liabilities,1171548000,2016-12-31
Liabilities and Equity,1469621000,2015-12-31
Liabilities and Equity,1745887000,2016-12-31
"Preferred Stock, Value, Issued",,2015-12-31
"Preferred Stock, Value, Issued",,2016-12-31
"Common Stock, Value, Issued",370000,2015-12-31
"Common Stock, Value, Issued",465000,2016-12-31
"Additional Paid in Capital, Common Stock",482431000,2015-12-31
"Additional Paid in Capital, Common Stock",663744000,2016-12-31
Retained Earnings (Accumulated Deficit),-52701000,2015-12-31
Retained Earnings (Accumulated Deficit),-92213000,2016-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-1905000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-1388000,2016-12-31
Stockholders' Equity Attributable to Noncontrolling Interest,3911000,2015-12-31
Stockholders' Equity Attributable to Noncontrolling Interest,3731000,2016-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",150624000,2013-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",274042000,2014-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",432106000,2015-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",574339000,2016-12-31
