Metric,Amount,endDate
Real estate loans receivable assets,819492000,2015-12-31
Real estate loans receivable assets,622628000,2016-12-31
Less allowance for losses on loans receivable,0,2013-12-31
Less allowance for losses on loans receivable,0,2014-12-31
Less allowance for losses on loans receivable,0,2015-12-31
Less allowance for losses on loans receivable,6563000,2016-12-31
Net real estate loans receivable,819492000,2015-12-31
Net real estate loans receivable,616065000,2016-12-31
Land And Land Improvements,2563445000,2015-12-31
Land And Land Improvements,2591071000,2016-12-31
Buildings and improvements,25522542000,2015-12-31
Buildings and improvements,24496153000,2016-12-31
Acquired lease intangibles,1350585000,2015-12-31
Acquired lease intangibles,1402884000,2016-12-31
"Real property held for sale, net of accumulated depreciation",169950000,2015-12-31
"Real property held for sale, net of accumulated depreciation",1044859000,2016-12-31
Construction in progress,258968000,2015-12-31
Construction in progress,506091000,2016-12-31
Gross real property owned,29865490000,2015-12-31
Gross real property owned,30041058000,2016-12-31
Less accumulated depreciation and amortization,3796297000,2015-12-31
Less accumulated depreciation and amortization,4093494000,2016-12-31
Net real property owned,26069193000,2015-12-31
Net real property owned,25947564000,2016-12-31
Net real estate investments,26888685000,2015-12-31
Net real estate investments,26563629000,2016-12-31
Equity investments,542281000,2015-12-31
Equity investments,457138000,2016-12-31
Goodwill,68321000,2015-12-31
Goodwill,68321000,2016-12-31
Cash and cash equivalents,158780000,2013-12-31
Cash and cash equivalents,473726000,2014-12-31
Cash and cash equivalents,360908000,2015-12-31
Cash and cash equivalents,419378000,2016-12-31
Restricted cash,61782000,2015-12-31
Restricted cash,187842000,2016-12-31
Deferred Rent Receivables Net,395562000,2015-12-31
Deferred Rent Receivables Net,342578000,2016-12-31
Receivables and other assets,706306000,2015-12-31
Receivables and other assets,826298000,2016-12-31
Total other assets,2135160000,2015-12-31
Total other assets,2301555000,2016-12-31
Total assets,24962923000,2014-12-31
Total assets,29023845000,2015-12-31
Total assets,28865184000,2016-12-31
Borrowings under unsecured line of credit arrangement,0,2014-12-31
Borrowings under unsecured line of credit arrangement,835000000,2015-12-31
Borrowings under unsecured line of credit arrangement,645000000,2016-12-31
Unsecured debt,8548055000,2015-12-31
Unsecured debt,8161619000,2016-12-31
Secured debt,3509142000,2015-12-31
Secured debt,3477699000,2016-12-31
Capital Lease Obligations,75489000,2015-12-31
Capital Lease Obligations,73927000,2016-12-31
Accrued expenses and other liabilities,697191000,2015-12-31
Accrued expenses and other liabilities,827034000,2016-12-31
Total liabilities,13664877000,2015-12-31
Total liabilities,13185279000,2016-12-31
Redeemable noncontrolling interests,183083000,2015-12-31
Redeemable noncontrolling interests,398433000,2016-12-31
Preferred stock,1006250000,2015-12-31
Preferred stock,1006250000,2016-12-31
Stock common,354811000,2015-12-31
Stock common,363071000,2016-12-31
Additional Paid In Capital Common Stock,16478300000,2015-12-31
Additional Paid In Capital Common Stock,16999691000,2016-12-31
Treasury stock equity,44372000,2015-12-31
Treasury stock equity,54741000,2016-12-31
Cumulative net income equity,3725772000,2015-12-31
Cumulative net income equity,4803575000,2016-12-31
Cumulative dividends,6846056000,2015-12-31
Cumulative dividends,8144981000,2016-12-31
Accumulated other comprehensive income member,-77009000,2014-12-31
Accumulated other comprehensive income member,-88243000,2015-12-31
Accumulated other comprehensive income member,-169531000,2016-12-31
Other equity,4098000,2015-12-31
Other equity,3059000,2016-12-31
"Total Welltower, Inc. stockholders' equity",14590560000,2015-12-31
"Total Welltower, Inc. stockholders' equity",14806393000,2016-12-31
Minority Interest,585325000,2015-12-31
Minority Interest,475079000,2016-12-31
Total equity,11756331000,2013-12-31
Total equity,13473049000,2014-12-31
Total equity,15175885000,2015-12-31
Total equity,15281472000,2016-12-31
Total liabilities and equity,29023845000,2015-12-31
Total liabilities and equity,28865184000,2016-12-31
