Metric,Amount,endDate
"Cash and Cash Equivalents, at Carrying Value",66227000,2014-02-01
"Cash and Cash Equivalents, at Carrying Value",88397000,2015-01-31
"Cash and Cash Equivalents, at Carrying Value",32274000,2016-01-30
"Cash and Cash Equivalents, at Carrying Value",38958000,2017-01-28
"Accounts Receivable, Net, Current",3787000,2016-01-30
"Accounts Receivable, Net, Current",4666000,2017-01-28
"Accounts and Other Receivables, Net, Current",3289000,2016-01-30
"Accounts and Other Receivables, Net, Current",4236000,2017-01-28
"Inventory, Net",283099000,2016-01-30
"Inventory, Net",280701000,2017-01-28
Prepaid expenses and other,7919000,2016-01-30
Prepaid expenses and other,9703000,2017-01-28
"Assets, Current",330368000,2016-01-30
"Assets, Current",338264000,2017-01-28
Land and buildings,28390000,2016-01-30
Land and buildings,28396000,2017-01-28
Buildings under capital lease,3652000,2016-01-30
Buildings under capital lease,3652000,2017-01-28
Equipment,76513000,2016-01-30
Equipment,84332000,2017-01-28
"Capital Leased Machinery and Equipment, Gross",1121000,2016-01-30
"Capital Leased Machinery and Equipment, Gross",1407000,2017-01-28
Furniture and fixtures,32863000,2016-01-30
Furniture and fixtures,35170000,2017-01-28
Leasehold improvements,80394000,2016-01-30
Leasehold improvements,87159000,2017-01-28
Construction in progress,8523000,2016-01-30
Construction in progress,7300000,2017-01-28
"Property, Plant and Equipment, Gross",231456000,2016-01-30
"Property, Plant and Equipment, Gross",247416000,2017-01-28
Less accumulated depreciation and amortization,130067000,2016-01-30
Less accumulated depreciation and amortization,135782000,2017-01-28
"Property, Plant and Equipment, Net",101389000,2016-01-30
"Property, Plant and Equipment, Net",111634000,2017-01-28
"Deferred Tax Assets, Net of Valuation Allowance, Noncurrent",6657000,2016-01-30
"Deferred Tax Assets, Net of Valuation Allowance, Noncurrent",5285000,2017-01-28
"Other assets, net",3958000,2016-01-30
"Other assets, net",3671000,2017-01-28
Assets,442372000,2016-01-30
Assets,458854000,2017-01-28
"Accounts Payable, Current",88456000,2016-01-30
"Accounts Payable, Current",77046000,2017-01-28
Capital lease obligations,478000,2016-01-30
Capital lease obligations,595000,2017-01-28
Accrued payroll expenses,7702000,2016-01-30
Accrued payroll expenses,8268000,2017-01-28
"Deferred Rent Credit, Current",3972000,2016-01-30
"Deferred Rent Credit, Current",5050000,2017-01-28
Other accrued expenses,4582000,2016-01-30
Other accrued expenses,5113000,2017-01-28
"Liabilities, Current",105190000,2016-01-30
"Liabilities, Current",96072000,2017-01-28
"Capital lease obligations, long-term",3149000,2016-01-30
"Capital lease obligations, long-term",2857000,2017-01-28
"Deferred Rent Credit, Noncurrent",19119000,2016-01-30
"Deferred Rent Credit, Noncurrent",21664000,2017-01-28
"Deferred Tax Liabilities, Net, Noncurrent",1355000,2016-01-30
"Deferred Tax Liabilities, Net, Noncurrent",1401000,2017-01-28
Other liabilities,2713000,2016-01-30
Other liabilities,2820000,2017-01-28
Liabilities,131526000,2016-01-30
Liabilities,124814000,2017-01-28
"Preferred stock, $.01 par value, 1,000,000 shares authorized, no shares issued",0,2016-01-30
"Preferred stock, $.01 par value, 1,000,000 shares authorized, no shares issued",0,2017-01-28
"Common stock, $.01 par value, 80,000,000 shares authorized, 38,739,079 and 38,628,385 shares issued at January 28, 2017 and January 30, 2016, respectively",386000,2016-01-30
"Common stock, $.01 par value, 80,000,000 shares authorized, 38,739,079 and 38,628,385 shares issued at January 28, 2017 and January 30, 2016, respectively",387000,2017-01-28
Paid-in capital,169543000,2016-01-30
Paid-in capital,174719000,2017-01-28
Retained earnings,636583000,2016-01-30
Retained earnings,697658000,2017-01-28
"Treasury Stock, Value",495666000,2016-01-30
"Treasury Stock, Value",538724000,2017-01-28
Stockholders' Equity Attributable to Parent,304023000,2014-02-01
Stockholders' Equity Attributable to Parent,324781000,2015-01-31
Stockholders' Equity Attributable to Parent,310846000,2016-01-30
Stockholders' Equity Attributable to Parent,334040000,2017-01-28
Liabilities and Equity,442372000,2016-01-30
Liabilities and Equity,458854000,2017-01-28
