Metric,Amount,endDate
Cash and Due from Banks,237841000,2015-12-31
Cash and Due from Banks,151290000,2016-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,20958000,2015-12-31
Interest-bearing Deposits in Banks and Other Financial Institutions,7434000,2016-12-31
"Cash and Cash Equivalents, at Carrying Value",125270000,2013-12-31
"Cash and Cash Equivalents, at Carrying Value",73871000,2014-12-31
"Cash and Cash Equivalents, at Carrying Value",258799000,2015-12-31
"Cash and Cash Equivalents, at Carrying Value",158724000,2016-12-31
"Time Deposits, at Carrying Value",2355000,2015-12-31
"Time Deposits, at Carrying Value",2105000,2016-12-31
Available-for-sale Securities,1578434000,2015-12-31
Available-for-sale Securities,1845864000,2016-12-31
Held-to-maturity Securities,279117000,2015-12-31
Held-to-maturity Securities,263662000,2016-12-31
"Other Investments and Securities, at Cost",21443000,2015-12-31
"Other Investments and Securities, at Cost",21560000,2016-12-31
"Loans Receivable Held-for-sale, Net, Not Part of Disposal Group, Other",74783000,2015-12-31
"Loans Receivable Held-for-sale, Net, Not Part of Disposal Group, Other",61261000,2016-12-31
"Loans and Leases Receivable, Net of Deferred Income",5001486000,2015-12-31
"Loans and Leases Receivable, Net of Deferred Income",5351719000,2016-12-31
"Loans and Leases Receivable, Allowance",48685000,2015-12-31
"Loans and Leases Receivable, Allowance",54324000,2016-12-31
"Loans and Leases Receivable, Net Amount",4952801000,2015-12-31
"Loans and Leases Receivable, Net Amount",5297395000,2016-12-31
"Property, Plant and Equipment, Net",146259000,2015-12-31
"Property, Plant and Equipment, Net",163614000,2016-12-31
"Assets Held-for-sale, Not Part of Disposal Group",3889000,2015-12-31
"Assets Held-for-sale, Not Part of Disposal Group",414000,2016-12-31
Real Estate Acquired Through Foreclosure,11524000,2015-12-31
Real Estate Acquired Through Foreclosure,9744000,2016-12-31
Goodwill,97900000,2015-12-31
Goodwill,97852000,2015-12-31
Goodwill,127700000,2016-12-31
Goodwill,127699000,2016-12-31
"Intangible Assets, Net, Excluding Goodwill And Servicing Rights",22020000,2015-12-31
"Intangible Assets, Net, Excluding Goodwill And Servicing Rights",22775000,2016-12-31
Servicing Asset,34925000,2015-12-31
Servicing Asset,35778000,2016-12-31
Bank Owned Life Insurance,110297000,2015-12-31
Bank Owned Life Insurance,112615000,2016-12-31
Other Assets,100256000,2015-12-31
Other Assets,123869000,2016-12-31
Assets,6051812000,2014-12-31
Assets,7694754000,2015-12-31
Assets,8247079000,2016-12-31
"Noninterest-bearing Deposit Liabilities, Domestic",1914141000,2015-12-31
"Noninterest-bearing Deposit Liabilities, Domestic",2202036000,2016-12-31
"Deposits, Savings Deposits",3367479000,2015-12-31
"Deposits, Savings Deposits",3788089000,2016-12-31
Time Deposits,1124203000,2015-12-31
Time Deposits,857286000,2016-12-31
Deposits,6405823000,2015-12-31
Deposits,6847411000,2016-12-31
Short-term Debt,293898000,2015-12-31
Short-term Debt,306459000,2016-12-31
Other Long-term Debt,263214000,2015-12-31
Other Long-term Debt,288534000,2016-12-31
Accounts Payable and Accrued Liabilities,68646000,2015-12-31
Accounts Payable and Accrued Liabilities,63759000,2016-12-31
Liabilities,7031581000,2015-12-31
Liabilities,7506163000,2016-12-31
"Common Stock, Value, Issued",22436000,2015-12-31
"Common Stock, Value, Issued",26120000,2016-12-31
"Additional Paid in Capital, Common Stock",216436000,2015-12-31
"Additional Paid in Capital, Common Stock",328376000,2016-12-31
Retained Earnings (Accumulated Deficit),348630000,2015-12-31
Retained Earnings (Accumulated Deficit),416109000,2016-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-6027000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-31046000,2016-12-31
"Treasury Stock, Value",0,2015-12-31
"Treasury Stock, Value",0,2016-12-31
Stockholders' Equity Attributable to Parent,439460000,2013-12-31
Stockholders' Equity Attributable to Parent,496317000,2014-12-31
Stockholders' Equity Attributable to Parent,663173000,2015-12-31
Stockholders' Equity Attributable to Parent,740916000,2016-12-31
Liabilities and Equity,7694754000,2015-12-31
Liabilities and Equity,8247079000,2016-12-31
