Metric,Amount,endDate
Cash and due from banks,4946000,2015-12-31
Cash and due from banks,4055000,2016-12-31
Interest-earning deposits with banks,55183000,2015-12-31
Interest-earning deposits with banks,57702000,2016-12-31
Total cash and cash equivalents,85653000,2013-12-31
Total cash and cash equivalents,110656000,2014-12-31
Total cash and cash equivalents,60129000,2015-12-31
Total cash and cash equivalents,61757000,2016-12-31
Time deposits,7368000,2015-12-31
Time deposits,9605000,2016-12-31
Restricted interest-earning deposits with banks,216000,2015-12-31
Restricted interest-earning deposits with banks,0,2016-12-31
"Securities available for sale (amortized cost of $6.1 million and $6.6 million at December 31, 2016 and 2015, respectively)",6399000,2015-12-31
"Securities available for sale (amortized cost of $6.1 million and $6.6 million at December 31, 2016 and 2015, respectively)",5880000,2016-12-31
"Net investment in leases and loans, excluding allowance for credit losses",690845000,2015-12-31
"Net investment in leases and loans, excluding allowance for credit losses",807654000,2016-12-31
"Loans and Leases Receivable, Allowance",8467000,2013-12-31
"Loans and Leases Receivable, Allowance",8537000,2014-12-31
"Loans and Leases Receivable, Allowance",8413000,2015-12-31
"Loans and Leases Receivable, Allowance",10937000,2016-12-31
Net investment in leases and loans,682432000,2015-12-31
Net investment in leases and loans,796717000,2016-12-31
Net investment in leases and loans,641082000,2015-06-30
Net investment in leases and loans,730750000,2016-06-30
Net investment in leases and loans,628019000,2015-03-31
Net investment in leases and loans,702126000,2016-03-31
Net investment in leases and loans,659253000,2015-09-30
Net investment in leases and loans,759422000,2016-09-30
"Property, Plant and Equipment, Net",3872000,2015-12-31
"Property, Plant and Equipment, Net",3495000,2016-12-31
Property Tax Receivables,47000,2015-12-31
Property Tax Receivables,5296000,2016-12-31
Other assets,12521000,2015-12-31
Other assets,9408000,2016-12-31
Total assets,772984000,2015-12-31
Total assets,892158000,2016-12-31
Total assets,764972000,2015-06-30
Total assets,841791000,2016-06-30
Total assets,769229000,2015-03-31
Total assets,801106000,2016-03-31
Total assets,790454000,2015-09-30
Total assets,869001000,2016-09-30
Deposits,587940000,2015-12-31
Deposits,697357000,2016-12-31
Sales and property taxes payable,2686000,2015-12-31
Sales and property taxes payable,2586000,2016-12-31
Accounts Payable and Accrued Liabilities,15371000,2015-12-31
Accounts Payable and Accrued Liabilities,14809000,2016-12-31
"Deferred Tax Assets (Liabilities), Net",16849000,2015-12-31
"Deferred Tax Assets (Liabilities), Net",15117000,2016-12-31
Total liabilities,622846000,2015-12-31
Total liabilities,729869000,2016-12-31
"Common Stock, $0.01 par value; 75,000,000 shares authorized; 12,572,114 and 12,410,899 shares issued and outstanding at December 31, 2016 and 2015, respectively",124000,2015-12-31
"Common Stock, $0.01 par value; 75,000,000 shares authorized; 12,572,114 and 12,410,899 shares issued and outstanding at December 31, 2016 and 2015, respectively",126000,2016-12-31
"Preferred Stock, $0.01 par value; 5,000,000 shares authorized; none issued",0,2015-12-31
"Preferred Stock, $0.01 par value; 5,000,000 shares authorized; none issued",0,2016-12-31
Additional paid-in capital,81703000,2015-12-31
Additional paid-in capital,83505000,2016-12-31
Stock subscription receivable,2000,2015-12-31
Stock subscription receivable,2000,2016-12-31
Accumulated other comprehensive income,-129000,2015-12-31
Accumulated other comprehensive income,-138000,2016-12-31
Retained earnings,68442000,2015-12-31
Retained earnings,78798000,2016-12-31
Total stockholders' equity,163038000,2013-12-31
Total stockholders' equity,173964000,2014-12-31
Total stockholders' equity,150138000,2015-12-31
Total stockholders' equity,162289000,2016-12-31
Total liabilities and stockholders' equity,772984000,2015-12-31
Total liabilities and stockholders' equity,892158000,2016-12-31
