Metric,Amount,endDate
"Loans Receivable, Net",122796000000,2015-12-31
"Loans Receivable, Net",111070000000,2016-12-31
"Cash and Cash Equivalents, at Carrying Value",5190000000,2013-12-31
"Cash and Cash Equivalents, at Carrying Value",1443000000,2014-12-31
"Cash and Cash Equivalents, at Carrying Value",1594000000,2015-12-31
"Cash and Cash Equivalents, at Carrying Value",1253000000,2016-12-31
Restricted Cash and Investments,3738000000,2015-12-31
Restricted Cash and Investments,3600000000,2016-12-31
"Intangible Assets, Net (Including Goodwill)",705000000,2015-12-31
"Intangible Assets, Net (Including Goodwill)",670000000,2016-12-31
Interest Receivable and Other Assets,4712000000,2015-12-31
Interest Receivable and Other Assets,4193000000,2016-12-31
Assets,134046000000,2015-12-31
Assets,121136000000,2016-12-31
Short-term Debt,2570000000,2015-12-31
Short-term Debt,2334000000,2016-12-31
Long-term Debt,124833000000,2015-12-31
Long-term Debt,112368000000,2016-12-31
Other Liabilities,2710000000,2015-12-31
Other Liabilities,2711000000,2016-12-31
Liabilities,130113000000,2015-12-31
Liabilities,117413000000,2016-12-31
Available-for-sale Securities,5000000,2015-12-31
Available-for-sale Securities,3000000,2016-12-31
Other Investments,496000000,2015-12-31
Other Investments,347000000,2016-12-31
Marketable Securities,501000000,2015-12-31
Marketable Securities,350000000,2016-12-31
Commitments and Contingencies,,2015-12-31
Commitments and Contingencies,,2016-12-31
Liabilities and Equity,134046000000,2015-12-31
Liabilities and Equity,121136000000,2016-12-31
"Common Stock, Value, Issued",4000000,2015-12-31
"Common Stock, Value, Issued",4000000,2016-12-31
"Additional Paid in Capital, Common Stock",2967000000,2015-12-31
"Additional Paid in Capital, Common Stock",3022000000,2016-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",-51000000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",6000000,2016-12-31
Retained Earnings (Accumulated Deficit),2414000000,2015-12-31
Retained Earnings (Accumulated Deficit),2890000000,2016-12-31
Stockholders' Equity before Treasury Stock,5334000000,2015-12-31
Stockholders' Equity before Treasury Stock,5922000000,2016-12-31
"Treasury Stock, Value",1425000000,2015-12-31
"Treasury Stock, Value",2223000000,2016-12-31
Stockholders' Equity Attributable to Parent,3909000000,2015-12-31
Stockholders' Equity Attributable to Parent,3699000000,2016-12-31
Stockholders' Equity Attributable to Noncontrolling Interest,24000000,2015-12-31
Stockholders' Equity Attributable to Noncontrolling Interest,24000000,2016-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",5600000000,2013-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",4144000000,2014-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",3933000000,2015-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",3723000000,2016-12-31
