Metric,Amount,endDate
Cash,27411000,2013-12-31
Cash,76386000,2014-12-31
Cash,58108000,2015-12-31
Cash,34476000,2016-12-31
Short Term Investments,44949000,2015-03-31
Short Term Investments,32417000,2015-06-30
Short Term Investments,31518000,2015-09-30
Short Term Investments,41865000,2015-12-31
Short Term Investments,47500000,2016-03-31
Short Term Investments,16877000,2016-06-30
Short Term Investments,33353000,2016-09-30
Short Term Investments,122088000,2016-12-31
Financial Instruments Owned Mortgages Mortgage Backed And Asset Backed Securities At Fair Value,316292000,2015-03-31
Financial Instruments Owned Mortgages Mortgage Backed And Asset Backed Securities At Fair Value,287626000,2015-06-30
Financial Instruments Owned Mortgages Mortgage Backed And Asset Backed Securities At Fair Value,315599000,2015-09-30
Financial Instruments Owned Mortgages Mortgage Backed And Asset Backed Securities At Fair Value,322473000,2015-12-31
Financial Instruments Owned Mortgages Mortgage Backed And Asset Backed Securities At Fair Value,364439000,2016-03-31
Financial Instruments Owned Mortgages Mortgage Backed And Asset Backed Securities At Fair Value,531612000,2016-06-30
Financial Instruments Owned Mortgages Mortgage Backed And Asset Backed Securities At Fair Value,708862000,2016-09-30
Financial Instruments Owned Mortgages Mortgage Backed And Asset Backed Securities At Fair Value,865061000,2016-12-31
Mortgages Held For Sale Fair Value Disclosure,1283795000,2015-12-31
Mortgages Held For Sale Fair Value Disclosure,1673112000,2016-12-31
Mortgage Loans On Real Estate,2555788000,2015-12-31
Mortgage Loans On Real Estate,1721741000,2016-12-31
Excess Spread Investment,222309000,2015-03-31
Excess Spread Investment,359102000,2015-06-30
Excess Spread Investment,418573000,2015-09-30
Excess Spread Investment,412425000,2015-12-31
Excess Spread Investment,321976000,2016-03-31
Excess Spread Investment,294551000,2016-06-30
Excess Spread Investment,280367000,2016-09-30
Excess Spread Investment,288669000,2016-12-31
Derivative Assets,10085000,2015-12-31
Derivative Assets,33709000,2016-12-31
Real Estate Acquired Through Foreclosure,138942000,2013-12-31
Real Estate Acquired Through Foreclosure,303228000,2014-12-31
Real Estate Acquired Through Foreclosure,341846000,2015-12-31
Real Estate Acquired Through Foreclosure,274069000,2016-12-31
Real Estate Investments,8796000,2015-12-31
Real Estate Investments,29324000,2016-12-31
Servicing Asset,459741000,2015-12-31
