Metric,Amount,endDate
Marketable Securities,1233256000,2015-12-31
Marketable Securities,1018439000,2016-12-31
"Servicing Asset at Fair Value, Amount",191976000,2015-12-31
"Servicing Asset at Fair Value, Amount",118526000,2016-12-31
"Cash and Cash Equivalents, at Carrying Value",173201000,2013-12-31
"Cash and Cash Equivalents, at Carrying Value",269730000,2014-12-31
"Cash and Cash Equivalents, at Carrying Value",220229000,2015-12-31
"Cash and Cash Equivalents, at Carrying Value",212844000,2016-12-31
Investments,5976911000,2015-12-31
Investments,5240560000,2016-12-31
Restricted Cash and Cash Equivalents,5567000,2015-12-31
Restricted Cash and Cash Equivalents,8623000,2016-12-31
Interest Receivable,23290000,2015-12-31
Interest Receivable,18454000,2016-12-31
Derivative Asset,16393000,2015-12-31
Derivative Asset,36595000,2016-12-31
Other Assets,197886000,2015-12-31
Other Assets,179245000,2016-12-31
Assets,6220047000,2015-12-31
Assets,5483477000,2016-12-31
Short-term Debt,1855003000,2015-12-31
Short-term Debt,791539000,2016-12-31
Interest Payable,8936000,2015-12-31
Interest Payable,9608000,2016-12-31
Derivative Liability,62794000,2015-12-31
Derivative Liability,66329000,2016-12-31
Accrued Liabilities,69897000,2015-12-31
Accrued Liabilities,72428000,2016-12-31
Secured Debt,1049415000,2015-12-31
Secured Debt,773462000,2016-12-31
Long-term Debt,2027737000,2015-12-31
Long-term Debt,2620683000,2016-12-31
Liabilities,5073782000,2015-12-31
Liabilities,4334049000,2016-12-31
"Common Stock, Value, Issued",782000,2015-12-31
"Common Stock, Value, Issued",768000,2016-12-31
"Additional Paid in Capital, Common Stock",1695956000,2015-12-31
"Additional Paid in Capital, Common Stock",1676486000,2016-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",91993000,2015-12-31
"Accumulated Other Comprehensive Income (Loss), Net of Tax",71853000,2016-12-31
Retained Earnings (Accumulated Deficit),1018683000,2015-12-31
Retained Earnings (Accumulated Deficit),1149935000,2016-12-31
Cumulative Dividends,1661149000,2015-12-31
Cumulative Dividends,1749614000,2016-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",1245783000,2013-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",1256141000,2014-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",1146265000,2015-12-31
"Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest",1149428000,2016-12-31
Liabilities and Equity,6220047000,2015-12-31
Liabilities and Equity,5483477000,2016-12-31
