Metric,Amount,endDate
Net income,7359000,2014-06-30
Net income,1804000,2014-09-30
Net income,7401000,2015-06-30
Net income,1655000,2014-12-31
Net income,2170000,2015-03-31
Net income,1772000,2015-06-30
Net income,1931000,2015-09-30
Net income,7640000,2016-06-30
Net income,989000,2015-12-31
Net income,2778000,2016-03-31
Net income,1942000,2016-06-30
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-75000,2014-06-30
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,22000,2014-09-30
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,17000,2015-06-30
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-13000,2014-12-31
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-12000,2015-03-31
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,20000,2015-06-30
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-12000,2015-09-30
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,41000,2016-06-30
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-6000,2015-12-31
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,65000,2016-03-31
us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,-6000,2016-06-30
us-gaap_DepreciationDepletionAndAmortization,1256000,2014-06-30
us-gaap_DepreciationDepletionAndAmortization,1293000,2015-06-30
us-gaap_DepreciationDepletionAndAmortization,1528000,2016-06-30
us-gaap_ShareBasedCompensation,1946000,2014-06-30
us-gaap_ShareBasedCompensation,2239000,2015-06-30
us-gaap_ShareBasedCompensation,596000,2016-06-30
us-gaap_ProvisionForDoubtfulAccounts,25000,2014-06-30
us-gaap_ProvisionForDoubtfulAccounts,8000,2015-06-30
us-gaap_ProvisionForDoubtfulAccounts,5000,2016-06-30
us-gaap_InventoryWriteDown,94000,2014-06-30
us-gaap_InventoryWriteDown,336000,2015-06-30
us-gaap_InventoryWriteDown,168000,2016-06-30
us-gaap_ProductWarrantyExpense,791000,2014-06-30
us-gaap_ProductWarrantyExpense,535000,2015-06-30
us-gaap_ProductWarrantyExpense,-145000,2016-06-30
us-gaap_GainLossOnSaleOfPropertyPlantEquipment,-4000,2014-06-30
us-gaap_GainLossOnSaleOfPropertyPlantEquipment,-19000,2015-06-30
us-gaap_GainLossOnSaleOfPropertyPlantEquipment,-5000,2016-06-30
us-gaap_IncreaseDecreaseInAccountsReceivable,95000,2014-06-30
us-gaap_IncreaseDecreaseInAccountsReceivable,391000,2015-06-30
us-gaap_IncreaseDecreaseInAccountsReceivable,1480000,2016-06-30
us-gaap_IncreaseDecreaseInInventories,326000,2014-06-30
us-gaap_IncreaseDecreaseInInventories,67000,2015-06-30
us-gaap_IncreaseDecreaseInInventories,384000,2016-06-30
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,402000,2014-06-30
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-427000,2015-06-30
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,333000,2016-06-30
us-gaap_IncreaseDecreaseInDeferredIncomeTaxes,272000,2014-06-30
us-gaap_IncreaseDecreaseInDeferredIncomeTaxes,-533000,2015-06-30
us-gaap_IncreaseDecreaseInDeferredIncomeTaxes,-1513000,2016-06-30
us-gaap_IncreaseDecreaseInOtherOperatingAssets,-15000,2014-06-30
us-gaap_IncreaseDecreaseInOtherOperatingAssets,-146000,2015-06-30
us-gaap_IncreaseDecreaseInOtherOperatingAssets,5000,2016-06-30
us-gaap_IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,379000,2014-06-30
us-gaap_IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-604000,2015-06-30
us-gaap_IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,420000,2016-06-30
us-gaap_IncreaseDecreaseInEmployeeRelatedLiabilities,1459000,2014-06-30
us-gaap_IncreaseDecreaseInEmployeeRelatedLiabilities,-249000,2015-06-30
us-gaap_IncreaseDecreaseInEmployeeRelatedLiabilities,-476000,2016-06-30
us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,90000,2014-06-30
us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,-327000,2015-06-30
us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,260000,2016-06-30
us-gaap_IncreaseDecreaseInDeferredRevenue,300000,2014-06-30
us-gaap_IncreaseDecreaseInDeferredRevenue,-24000,2015-06-30
us-gaap_IncreaseDecreaseInDeferredRevenue,-58000,2016-06-30
us-gaap_StraightLineRent,13000,2014-06-30
us-gaap_StraightLineRent,39000,2015-06-30
us-gaap_StraightLineRent,41000,2016-06-30
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,12685000,2014-06-30
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,11219000,2015-06-30
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,9172000,2016-06-30
Net cash used in operating activities of discontinued operations,-569000,2014-06-30
Net cash used in operating activities of discontinued operations,-615000,2015-06-30
Net cash used in operating activities of discontinued operations,-440000,2016-06-30
us-gaap_NetCashProvidedByUsedInOperatingActivities,12116000,2014-06-30
us-gaap_NetCashProvidedByUsedInOperatingActivities,10604000,2015-06-30
us-gaap_NetCashProvidedByUsedInOperatingActivities,8732000,2016-06-30
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,1166000,2014-06-30
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,777000,2015-06-30
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,1299000,2016-06-30
us-gaap_PaymentsForSoftware,191000,2014-06-30
us-gaap_PaymentsForSoftware,441000,2015-06-30
us-gaap_PaymentsForSoftware,752000,2016-06-30
us-gaap_ProceedsFromSaleOfPropertyPlantAndEquipment,7000,2014-06-30
us-gaap_ProceedsFromSaleOfPropertyPlantAndEquipment,19000,2015-06-30
us-gaap_ProceedsFromSaleOfPropertyPlantAndEquipment,,2016-06-30
us-gaap_PaymentsToAcquireIntangibleAssets,23000,2014-06-30
us-gaap_PaymentsToAcquireIntangibleAssets,57000,2015-06-30
us-gaap_PaymentsToAcquireIntangibleAssets,13000,2016-06-30
Proceeds from sale of business,18000,2014-06-30
Proceeds from sale of business,116000,2015-06-30
Proceeds from sale of business,53000,2016-06-30
us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,,2014-06-30
us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,200000,2015-06-30
us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,,2016-06-30
us-gaap_NetCashProvidedByUsedInInvestingActivities,-1355000,2014-06-30
us-gaap_NetCashProvidedByUsedInInvestingActivities,-1340000,2015-06-30
us-gaap_NetCashProvidedByUsedInInvestingActivities,-2011000,2016-06-30
us-gaap_PaymentsOfDividendsCommonStock,10731000,2014-06-30
us-gaap_PaymentsOfDividendsCommonStock,11361000,2015-06-30
us-gaap_PaymentsOfDividendsCommonStock,12008000,2016-06-30
Proceeds from exercise of stock options,1354000,2014-06-30
Proceeds from exercise of stock options,,2015-06-30
Proceeds from exercise of stock options,,2016-06-30
us-gaap_PaymentsForRepurchaseOfCommonStock,186000,2014-06-30
us-gaap_PaymentsForRepurchaseOfCommonStock,558000,2015-06-30
us-gaap_PaymentsForRepurchaseOfCommonStock,,2016-06-30
us-gaap_NetCashProvidedByUsedInFinancingActivities,-9563000,2014-06-30
us-gaap_NetCashProvidedByUsedInFinancingActivities,-11919000,2015-06-30
us-gaap_NetCashProvidedByUsedInFinancingActivities,-12008000,2016-06-30
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,1198000,2014-06-30
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,-2655000,2015-06-30
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,-5287000,2016-06-30
Cash and cash equivalents,18711000,2013-06-30
Cash and cash equivalents,19909000,2014-06-30
Cash and cash equivalents,17254000,2015-06-30
Cash and cash equivalents,11967000,2016-06-30
Cash and cash equivalents,18711000,2013-06-30
Cash and cash equivalents,19909000,2014-06-30
Cash and cash equivalents,17254000,2015-06-30
