Metric,Amount,endDate
Net earnings,20043000,2015-03-01
Net earnings,4777000,2015-05-31
Net earnings,18029000,2016-02-28
Net earnings,4569000,2015-08-30
Net earnings,4109000,2015-11-29
Net earnings,4574000,2016-02-28
Net earnings,2950000,2016-05-29
Net earnings,9283000,2017-02-26
Net earnings,1981000,2016-08-28
Net earnings,1875000,2016-11-27
Net earnings,2477000,2017-02-26
us-gaap_DepreciationDepletionAndAmortization,2017000,2014-03-01
us-gaap_DepreciationDepletionAndAmortization,3559000,2015-03-01
us-gaap_DepreciationDepletionAndAmortization,3369000,2016-02-28
us-gaap_DepreciationDepletionAndAmortization,3106000,2017-02-26
us-gaap_ShareBasedCompensation,1418000,2015-03-01
us-gaap_ShareBasedCompensation,1535000,2016-02-28
us-gaap_ShareBasedCompensation,1214000,2017-02-26
us-gaap_DeferredIncomeTaxExpenseBenefit,-2815000,2015-03-01
us-gaap_DeferredIncomeTaxExpenseBenefit,-11412000,2016-02-28
us-gaap_DeferredIncomeTaxExpenseBenefit,-1533000,2017-02-26
us-gaap_AmortizationOfDebtDiscountPremium,796000,2015-03-01
us-gaap_AmortizationOfDebtDiscountPremium,886000,2016-02-28
us-gaap_AmortizationOfDebtDiscountPremium,434000,2017-02-26
us-gaap_GainLossOnDispositionOfAssets,,2015-03-01
us-gaap_GainLossOnDispositionOfAssets,31000,2016-02-28
us-gaap_GainLossOnDispositionOfAssets,,2017-02-26
us-gaap_IncreaseDecreaseInAccountsAndOtherReceivables,-1138000,2015-03-01
us-gaap_IncreaseDecreaseInAccountsAndOtherReceivables,1152000,2016-02-28
us-gaap_IncreaseDecreaseInAccountsAndOtherReceivables,-5312000,2017-02-26
us-gaap_IncreaseDecreaseInInventories,664000,2015-03-01
us-gaap_IncreaseDecreaseInInventories,-4225000,2016-02-28
us-gaap_IncreaseDecreaseInInventories,916000,2017-02-26
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1713000,2015-03-01
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,131000,2016-02-28
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,422000,2017-02-26
us-gaap_IncreaseDecreaseInOtherOperatingCapitalNet,-1490000,2015-03-01
us-gaap_IncreaseDecreaseInOtherOperatingCapitalNet,-620000,2016-02-28
us-gaap_IncreaseDecreaseInOtherOperatingCapitalNet,229000,2017-02-26
us-gaap_IncreaseDecreaseInAccountsPayable,322000,2015-03-01
us-gaap_IncreaseDecreaseInAccountsPayable,-727000,2016-02-28
us-gaap_IncreaseDecreaseInAccountsPayable,-1964000,2017-02-26
Accrued liabilities,866000,2015-03-01
Accrued liabilities,-65000,2016-02-28
Accrued liabilities,-1198000,2017-02-26
us-gaap_IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,1145000,2015-03-01
us-gaap_IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,-1198000,2016-02-28
us-gaap_IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,80000,2017-02-26
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,29011000,2015-03-01
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,13948000,2016-02-28
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,13167000,2017-02-26
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,430000,2015-03-01
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,398000,2016-02-28
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,242000,2017-02-26
