Metric,Amount,endDate
NET INCOME,13491000,2014-12-31
NET INCOME,5369000,2015-03-31
NET INCOME,21436000,2015-12-31
NET INCOME,7039000,2015-06-30
NET INCOME,5795000,2015-09-30
NET INCOME,3233000,2015-12-31
NET INCOME,2935000,2016-03-31
NET INCOME,11101000,2016-12-31
NET INCOME,3992000,2016-06-30
NET INCOME,3451000,2016-09-30
NET INCOME,723000,2016-12-31
Depreciation,36296000,2014-12-31
Depreciation,32346000,2015-12-31
Depreciation,39114000,2016-12-31
Provision for bad debts,456000,2014-12-31
Provision for bad debts,151000,2015-12-31
Provision for bad debts,445000,2016-12-31
us-gaap_ShareBasedCompensation,270000,2014-12-31
us-gaap_ShareBasedCompensation,267000,2015-12-31
us-gaap_ShareBasedCompensation,302000,2016-12-31
us-gaap_SaleLeasebackTransactionCurrentPeriodGainRecognized,205000,2014-12-31
us-gaap_SaleLeasebackTransactionCurrentPeriodGainRecognized,224000,2015-12-31
us-gaap_SaleLeasebackTransactionCurrentPeriodGainRecognized,131000,2016-12-31
us-gaap_DeferredIncomeTaxExpenseBenefit,7512000,2014-12-31
us-gaap_DeferredIncomeTaxExpenseBenefit,12901000,2015-12-31
us-gaap_DeferredIncomeTaxExpenseBenefit,6658000,2016-12-31
us-gaap_UnrealizedGainLossOnSecurities,-1000,2014-12-31
us-gaap_UnrealizedGainLossOnSecurities,-833000,2015-12-31
us-gaap_UnrealizedGainLossOnSecurities,-709000,2016-12-31
us-gaap_GainLossOnSaleOfInvestments,1040000,2014-12-31
us-gaap_GainLossOnSaleOfInvestments,1001000,2015-12-31
us-gaap_GainLossOnSaleOfInvestments,1003000,2016-12-31
us-gaap_GainLossOnDispositionOfAssets1,4591000,2014-12-31
us-gaap_GainLossOnDispositionOfAssets1,5754000,2015-12-31
us-gaap_GainLossOnDispositionOfAssets1,4700000,2016-12-31
us-gaap_IncreaseDecreaseInAccountsReceivable,-5109000,2014-12-31
us-gaap_IncreaseDecreaseInAccountsReceivable,-1128000,2015-12-31
us-gaap_IncreaseDecreaseInAccountsReceivable,6725000,2016-12-31
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,3299000,2014-12-31
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1470000,2015-12-31
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,685000,2016-12-31
us-gaap_IncreaseDecreaseInIncomeTaxesReceivable,277000,2014-12-31
us-gaap_IncreaseDecreaseInIncomeTaxesReceivable,2358000,2015-12-31
us-gaap_IncreaseDecreaseInIncomeTaxesReceivable,-2127000,2016-12-31
us-gaap_IncreaseDecreaseInAccountsPayableTrade,-1555000,2014-12-31
us-gaap_IncreaseDecreaseInAccountsPayableTrade,886000,2015-12-31
us-gaap_IncreaseDecreaseInAccountsPayableTrade,3231000,2016-12-31
us-gaap_IncreaseDecreaseInAccruedLiabilities,3085000,2014-12-31
us-gaap_IncreaseDecreaseInAccruedLiabilities,-556000,2015-12-31
us-gaap_IncreaseDecreaseInAccruedLiabilities,-3041000,2016-12-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,55253000,2014-12-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,61525000,2015-12-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,47402000,2016-12-31
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,28588000,2014-12-31
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,125720000,2015-12-31
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,86128000,2016-12-31
us-gaap_ProceedsFromSaleOfMachineryAndEquipment,38902000,2014-12-31
us-gaap_ProceedsFromSaleOfMachineryAndEquipment,33472000,2015-12-31
us-gaap_ProceedsFromSaleOfMachineryAndEquipment,32256000,2016-12-31
us-gaap_IncreaseDecreaseInRestrictedCash,7873000,2014-12-31
us-gaap_IncreaseDecreaseInRestrictedCash,-8012000,2015-12-31
us-gaap_IncreaseDecreaseInRestrictedCash,-317000,2016-12-31
us-gaap_ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,1720000,2014-12-31
us-gaap_ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,1500000,2015-12-31
us-gaap_ProceedsFromSaleOfAvailableForSaleSecuritiesEquity,1550000,2016-12-31
us-gaap_PaymentsToAcquireMarketableSecurities,4210000,2014-12-31
us-gaap_PaymentsToAcquireMarketableSecurities,2769000,2015-12-31
us-gaap_PaymentsToAcquireMarketableSecurities,810000,2016-12-31
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-49000,2014-12-31
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-85505000,2015-12-31
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-52815000,2016-12-31
us-gaap_ProceedsFromSecuredLinesOfCredit,469918000,2014-12-31
us-gaap_ProceedsFromSecuredLinesOfCredit,549955000,2015-12-31
us-gaap_ProceedsFromSecuredLinesOfCredit,520089000,2016-12-31
us-gaap_ProceedsFromRepaymentsOfLinesOfCredit,-469918000,2014-12-31
us-gaap_ProceedsFromRepaymentsOfLinesOfCredit,-539979000,2015-12-31
us-gaap_ProceedsFromRepaymentsOfLinesOfCredit,-528200000,2016-12-31
us-gaap_ProceedsFromIssuanceOfLongTermDebt,42979000,2014-12-31
us-gaap_ProceedsFromIssuanceOfLongTermDebt,88018000,2015-12-31
us-gaap_ProceedsFromIssuanceOfLongTermDebt,83517000,2016-12-31
us-gaap_RepaymentsOfLongTermDebt,58247000,2014-12-31
us-gaap_RepaymentsOfLongTermDebt,53947000,2015-12-31
us-gaap_RepaymentsOfLongTermDebt,47457000,2016-12-31
us-gaap_ProceedsFromOtherDebt,4351000,2014-12-31
us-gaap_ProceedsFromOtherDebt,3005000,2015-12-31
us-gaap_ProceedsFromOtherDebt,1078000,2016-12-31
us-gaap_RepaymentsOfOtherDebt,2645000,2014-12-31
us-gaap_RepaymentsOfOtherDebt,2779000,2015-12-31
us-gaap_RepaymentsOfOtherDebt,2669000,2016-12-31
us-gaap_PaymentsForRepurchaseOfCommonStock,16011000,2014-12-31
us-gaap_PaymentsForRepurchaseOfCommonStock,48021000,2015-12-31
us-gaap_PaymentsForRepurchaseOfCommonStock,21056000,2016-12-31
us-gaap_ProceedsFromStockOptionsExercised,846000,2014-12-31
us-gaap_ProceedsFromStockOptionsExercised,236000,2015-12-31
us-gaap_ProceedsFromStockOptionsExercised,91000,2016-12-31
us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-28727000,2014-12-31
us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-3512000,2015-12-31
us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,5393000,2016-12-31
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,26477000,2014-12-31
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,-27492000,2015-12-31
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,-20000,2016-12-31
Cash and cash equivalents,1172000,2013-12-31
Cash and cash equivalents,27649000,2014-12-31
Cash and cash equivalents,157000,2015-12-31
Cash and cash equivalents,137000,2016-12-31
