Metric,Amount,endDate
Amortization of Program Rights,581100000,2013-12-31
Amortization of Program Rights,555700000,2014-12-31
Amortization of Program Rights,607200000,2015-12-31
Amortization of Investment in Films and Television Programs,212400000,2013-12-31
Amortization of Investment in Films and Television Programs,130000000,2014-12-31
Amortization of Investment in Films and Television Programs,155100000,2015-12-31
Share-based Compensation,34300000,2013-12-31
Share-based Compensation,30600000,2014-12-31
Share-based Compensation,32900000,2015-12-31
Other Noncash Income (Expense),-5700000,2013-12-31
Other Noncash Income (Expense),-10400000,2014-12-31
Other Noncash Income (Expense),-14200000,2015-12-31
Increase (Decrease) in Operating Assets,61100000,2013-12-31
Increase (Decrease) in Operating Assets,29000000,2014-12-31
Increase (Decrease) in Operating Assets,56700000,2015-12-31
Increase (Decrease) in Accounts Payable and Accrued Liabilities,6700000,2013-12-31
Increase (Decrease) in Accounts Payable and Accrued Liabilities,-20300000,2014-12-31
Increase (Decrease) in Accounts Payable and Accrued Liabilities,12500000,2015-12-31
Investment in and advances to equity investee,0,2013-12-31
Investment in and advances to equity investee,19100000,2014-12-31
Investment in and advances to equity investee,6300000,2015-12-31
Net Cash Provided by (Used in) Investing Activities,-14800000,2013-12-31
Net Cash Provided by (Used in) Investing Activities,-19600000,2014-12-31
Net Cash Provided by (Used in) Investing Activities,-23500000,2015-12-31
Proceeds from Issuance of Long-term Debt,1197000000,2013-12-31
Proceeds from Issuance of Long-term Debt,515500000,2014-12-31
Proceeds from Issuance of Long-term Debt,840000000,2015-12-31
Payments of Debt Issuance Costs,2400000,2013-12-31
Payments of Debt Issuance Costs,0,2014-12-31
Payments of Debt Issuance Costs,5000000,2015-12-31
Proceeds from Stock Options Exercised,0,2013-12-31
Proceeds from Stock Options Exercised,9600000,2014-12-31
Proceeds from Stock Options Exercised,16000000,2015-12-31
"Excess Tax Benefit from Share-based Compensation, Financing Activities",4700000,2013-12-31
"Excess Tax Benefit from Share-based Compensation, Financing Activities",13400000,2014-12-31
"Excess Tax Benefit from Share-based Compensation, Financing Activities",19900000,2015-12-31
Distributions to Parent Due to Spin Off Arrangement,1200000000,2013-01-10
Distributions to Parent Due to Spin Off Arrangement,1200000000,2013-12-31
Distributions to Parent Due to Spin Off Arrangement,0,2014-12-31
Distributions to Parent Due to Spin Off Arrangement,0,2015-12-31
Effect of Exchange Rate on Cash and Cash Equivalents,-100000,2013-12-31
Effect of Exchange Rate on Cash and Cash Equivalents,0,2014-12-31
Effect of Exchange Rate on Cash and Cash Equivalents,0,2015-12-31
"Cash and Cash Equivalents, at Carrying Value",749800000,2012-12-31
"Cash and Cash Equivalents, at Carrying Value",25700000,2013-12-31
"Cash and Cash Equivalents, at Carrying Value",13400000,2014-12-31
"Cash and Cash Equivalents, at Carrying Value",10700000,2015-12-31
