Metric,Amount,endDate
Net income,24808000,2014-12-28
Net income,12322000,2015-04-05
Net income,72418000,2016-01-03
Net income,21722000,2015-07-05
Net income,20127000,2015-10-04
Net income,18247000,2016-01-03
Net income,12894000,2016-04-03
Net income,54162000,2017-01-01
Net income,20657000,2016-07-03
Net income,15904000,2016-10-02
Net income,4707000,2017-01-01
Depreciation and amortization,30677000,2014-12-28
Depreciation and amortization,30803000,2016-01-03
Depreciation and amortization,30632000,2017-01-01
us-gaap_EmployeeBenefitsAndShareBasedCompensation,3998000,2014-12-28
us-gaap_EmployeeBenefitsAndShareBasedCompensation,13948000,2016-01-03
us-gaap_EmployeeBenefitsAndShareBasedCompensation,5873000,2017-01-01
Bad debt expense,137000,2014-12-28
Bad debt expense,763000,2016-01-03
Bad debt expense,145000,2017-01-01
tile_IncreaseDecreaseInDeferredIncomeTaxesAndOther,3534000,2014-12-28
tile_IncreaseDecreaseInDeferredIncomeTaxesAndOther,-9052000,2016-01-03
tile_IncreaseDecreaseInDeferredIncomeTaxesAndOther,-468000,2017-01-01
us-gaap_IncreaseDecreaseInAccountsReceivable,29255000,2014-12-28
us-gaap_IncreaseDecreaseInAccountsReceivable,-18738000,2016-01-03
us-gaap_IncreaseDecreaseInAccountsReceivable,372000,2017-01-01
us-gaap_IncreaseDecreaseInInventories,-1343000,2014-12-28
us-gaap_IncreaseDecreaseInInventories,26452000,2016-01-03
us-gaap_IncreaseDecreaseInInventories,-2686000,2017-01-01
us-gaap_IncreaseDecreaseInPrepaidExpense,-2785000,2014-12-28
us-gaap_IncreaseDecreaseInPrepaidExpense,8332000,2016-01-03
us-gaap_IncreaseDecreaseInPrepaidExpense,7720000,2017-01-01
Accounts payable and accrued expenses,15421000,2014-12-28
Accounts payable and accrued expenses,14497000,2016-01-03
Accounts payable and accrued expenses,7289000,2017-01-01
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,46380000,2014-12-28
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,125435000,2016-01-03
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,93163000,2017-01-01
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,38922000,2014-12-28
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,27188000,2016-01-03
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,28071000,2017-01-01
us-gaap_PaymentsForProceedsFromOtherInvestingActivities,-2415000,2014-12-28
us-gaap_PaymentsForProceedsFromOtherInvestingActivities,-731000,2016-01-03
us-gaap_PaymentsForProceedsFromOtherInvestingActivities,-1642000,2017-01-01
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-36507000,2014-12-28
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-26457000,2016-01-03
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-26429000,2017-01-01
Credit facility borrowing,48850000,2014-12-28
Credit facility borrowing,0,2016-01-03
Credit facility borrowing,87400000,2017-01-01
us-gaap_RepaymentsOfLinesOfCredit,9905000,2014-12-28
us-gaap_RepaymentsOfLinesOfCredit,45267000,2016-01-03
us-gaap_RepaymentsOfLinesOfCredit,17575000,2017-01-01
Term loan borrowings,200000000,2014-12-28
Term loan borrowings,0,2016-01-03
