Metric,Amount,endDate
Net income,119925000,2014-08-30
Net income,37413000,2014-11-29
Net income,124299000,2015-08-29
Net income,25446000,2015-02-28
Net income,32499000,2015-05-30
Net income,28941000,2015-08-29
Net income,35890000,2015-11-28
Net income,125026000,2016-08-27
Net income,23498000,2016-02-27
Net income,30144000,2016-05-28
Net income,35494000,2016-08-27
us-gaap_Depreciation,62791000,2014-08-30
us-gaap_Depreciation,68164000,2015-08-29
us-gaap_Depreciation,72983000,2016-08-27
us-gaap_AmortizationOfIntangibleAssets,8961000,2014-08-30
us-gaap_AmortizationOfIntangibleAssets,8949000,2015-08-29
us-gaap_AmortizationOfIntangibleAssets,8629000,2016-08-27
us-gaap_AmortizationOfFinancingCostsAndDiscounts,209000,2014-08-30
us-gaap_AmortizationOfFinancingCostsAndDiscounts,209000,2015-08-29
us-gaap_AmortizationOfFinancingCostsAndDiscounts,184000,2016-08-27
us-gaap_ShareBasedCompensation,5601000,2014-08-30
us-gaap_ShareBasedCompensation,5366000,2015-08-29
us-gaap_ShareBasedCompensation,5628000,2016-08-27
unf_AccretionOnEnvironmentalContingencies,716000,2014-08-30
unf_AccretionOnEnvironmentalContingencies,603000,2015-08-29
unf_AccretionOnEnvironmentalContingencies,669000,2016-08-27
us-gaap_AssetRetirementObligationAccretionExpense,941000,2014-08-30
us-gaap_AssetRetirementObligationAccretionExpense,690000,2015-08-29
us-gaap_AssetRetirementObligationAccretionExpense,826000,2016-08-27
us-gaap_DeferredIncomeTaxesAndTaxCredits,8439000,2014-08-30
us-gaap_DeferredIncomeTaxesAndTaxCredits,-3473000,2015-08-29
us-gaap_DeferredIncomeTaxesAndTaxCredits,9899000,2016-08-27
us-gaap_IncreaseDecreaseInReceivables,11541000,2014-08-30
us-gaap_IncreaseDecreaseInReceivables,3494000,2015-08-29
us-gaap_IncreaseDecreaseInReceivables,3949000,2016-08-27
us-gaap_IncreaseDecreaseInInventories,4450000,2014-08-30
us-gaap_IncreaseDecreaseInInventories,2236000,2015-08-29
us-gaap_IncreaseDecreaseInInventories,-1467000,2016-08-27
unf_IncreaseDecreaseInRentalMerchandiseInService,14002000,2014-08-30
unf_IncreaseDecreaseInRentalMerchandiseInService,-4900000,2015-08-29
unf_IncreaseDecreaseInRentalMerchandiseInService,-3945000,2016-08-27
us-gaap_IncreaseDecreaseInPrepaidExpense,-2623000,2014-08-30
us-gaap_IncreaseDecreaseInPrepaidExpense,4005000,2015-08-29
us-gaap_IncreaseDecreaseInPrepaidExpense,38443000,2016-08-27
us-gaap_IncreaseDecreaseInAccountsPayable,13646000,2014-08-30
us-gaap_IncreaseDecreaseInAccountsPayable,-7648000,2015-08-29
us-gaap_IncreaseDecreaseInAccountsPayable,49000,2016-08-27
us-gaap_IncreaseDecreaseInAccruedLiabilities,6890000,2014-08-30
us-gaap_IncreaseDecreaseInAccruedLiabilities,17832000,2015-08-29
us-gaap_IncreaseDecreaseInAccruedLiabilities,31954000,2016-08-27
us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,-6130000,2014-08-30
us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,16761000,2015-08-29
us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,-11231000,2016-08-27
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,194619000,2014-08-30
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,226917000,2015-08-29
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,207636000,2016-08-27
us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,3635000,2014-08-30
us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,22359000,2015-08-29
us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,16583000,2016-08-27
Capital expenditures,91808000,2014-08-30
Capital expenditures,101163000,2015-08-29
Capital expenditures,98235000,2016-08-27
us-gaap_PaymentsForProceedsFromOtherInvestingActivities,-1269000,2014-08-30
us-gaap_PaymentsForProceedsFromOtherInvestingActivities,747000,2015-08-29
us-gaap_PaymentsForProceedsFromOtherInvestingActivities,-149000,2016-08-27
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-94174000,2014-08-30
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-124269000,2015-08-29
us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-114669000,2016-08-27
us-gaap_ProceedsFromIssuanceOfLongTermDebt,9388000,2014-08-30
us-gaap_ProceedsFromIssuanceOfLongTermDebt,6866000,2015-08-29
us-gaap_ProceedsFromIssuanceOfLongTermDebt,0,2016-08-27
us-gaap_RepaymentsOfLongTermDebt,113247000,2014-08-30
us-gaap_RepaymentsOfLongTermDebt,13055000,2015-08-29
us-gaap_RepaymentsOfLongTermDebt,1301000,2016-08-27
us-gaap_PaymentsOfFinancingCosts,,2014-08-30
us-gaap_PaymentsOfFinancingCosts,,2015-08-29
us-gaap_PaymentsOfFinancingCosts,813000,2016-08-27
us-gaap_ProceedsFromStockOptionsExercised,5899000,2014-08-30
us-gaap_ProceedsFromStockOptionsExercised,7799000,2015-08-29
us-gaap_ProceedsFromStockOptionsExercised,5313000,2016-08-27
us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation,3527000,2014-08-30
us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation,5002000,2015-08-29
us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation,5965000,2016-08-27
us-gaap_PaymentsOfDividends,2860000,2014-08-30
us-gaap_PaymentsOfDividends,2869000,2015-08-29
us-gaap_PaymentsOfDividends,2878000,2016-08-27
us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-104347000,2014-08-30
us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-6261000,2015-08-29
us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-5644000,2016-08-27
us-gaap_EffectOfExchangeRateOnCashAndCashEquivalents,-1808000,2014-08-30
us-gaap_EffectOfExchangeRateOnCashAndCashEquivalents,-11603000,2015-08-29
us-gaap_EffectOfExchangeRateOnCashAndCashEquivalents,-81000,2016-08-27
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,-5710000,2014-08-30
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,84784000,2015-08-29
us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease,87242000,2016-08-27
Cash and cash equivalents,197479000,2013-08-31
Cash and cash equivalents,191769000,2014-08-30
Cash and cash equivalents,276553000,2015-08-29
Cash and cash equivalents,363795000,2016-08-27
Cash and cash equivalents,197479000,2013-08-31
Cash and cash equivalents,191769000,2014-08-30
Cash and cash equivalents,276553000,2015-08-29
Cash and cash equivalents,363795000,2016-08-27
us-gaap_InterestPaid,763000,2014-08-30
us-gaap_InterestPaid,662000,2015-08-29
us-gaap_InterestPaid,763000,2016-08-27
us-gaap_IncomeTaxesPaidNet,69755000,2014-08-30
us-gaap_IncomeTaxesPaidNet,59826000,2015-08-29
us-gaap_IncomeTaxesPaidNet,73658000,2016-08-27
