Metric,Amount,endDate
Net loss,-19398000,2014-12-31
Net loss,-21283000,2015-12-31
Net loss,-17710000,2016-12-31
us-gaap_Depreciation,1285000,2014-12-31
us-gaap_Depreciation,1615000,2015-12-31
us-gaap_Depreciation,2180000,2016-12-31
us-gaap_ShareBasedCompensation,4664000,2014-12-31
us-gaap_ShareBasedCompensation,7794000,2015-12-31
us-gaap_ShareBasedCompensation,12938000,2016-12-31
us-gaap_GainLossOnDispositionOfAssets,10000,2014-12-31
us-gaap_GainLossOnDispositionOfAssets,4000,2015-12-31
us-gaap_GainLossOnDispositionOfAssets,2000,2016-12-31
us-gaap_AmortizationOfFinancingCosts,187000,2014-12-31
us-gaap_AmortizationOfFinancingCosts,,2015-12-31
us-gaap_AmortizationOfFinancingCosts,,2016-12-31
us-gaap_IncreaseDecreaseInAccountsReceivable,9601000,2014-12-31
us-gaap_IncreaseDecreaseInAccountsReceivable,9567000,2015-12-31
us-gaap_IncreaseDecreaseInAccountsReceivable,6425000,2016-12-31
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-19000,2014-12-31
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-796000,2015-12-31
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1028000,2016-12-31
us-gaap_IncreaseDecreaseInAccountsPayable,540000,2014-12-31
us-gaap_IncreaseDecreaseInAccountsPayable,-91000,2015-12-31
us-gaap_IncreaseDecreaseInAccountsPayable,-1324000,2016-12-31
Accrued expenses and other short term liabilities,5541000,2014-12-31
Accrued expenses and other short term liabilities,6270000,2015-12-31
Accrued expenses and other short term liabilities,5302000,2016-12-31
Severance pay,348000,2014-12-31
Severance pay,79000,2015-12-31
Severance pay,136000,2016-12-31
us-gaap_IncreaseDecreaseInDeferredRevenue,8517000,2014-12-31
us-gaap_IncreaseDecreaseInDeferredRevenue,11554000,2015-12-31
us-gaap_IncreaseDecreaseInDeferredRevenue,13269000,2016-12-31
Other long term liabilities,798000,2014-12-31
Other long term liabilities,108000,2015-12-31
Other long term liabilities,11000,2016-12-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-7110000,2014-12-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2729000,2015-12-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,7347000,2016-12-31
vrns_IncreaseDecreaseInShortTermDeposits,30758000,2014-12-31
vrns_IncreaseDecreaseInShortTermDeposits,22001000,2015-12-31
vrns_IncreaseDecreaseInShortTermDeposits,8390000,2016-12-31
vrns_IncreaseDecreaseInLongTermDeposits,-39000,2014-12-31
vrns_IncreaseDecreaseInLongTermDeposits,-11000,2015-12-31
vrns_IncreaseDecreaseInLongTermDeposits,111000,2016-12-31
us-gaap_IncreaseDecreaseInRestrictedCash,-230000,2014-12-31
us-gaap_IncreaseDecreaseInRestrictedCash,156000,2015-12-31
us-gaap_IncreaseDecreaseInRestrictedCash,21000,2016-12-31
Proceeds from sale of property and equipment,,2014-12-31
Proceeds from sale of property and equipment,4000,2015-12-31
Proceeds from sale of property and equipment,2000,2016-12-31
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,2333000,2014-12-31
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,4536000,2015-12-31
