Metric,Amount,endDate
Net retail sales,387725000,2015-01-03
Net retail sales,372715000,2016-01-02
Net retail sales,357593000,2016-12-31
Commercial revenue,2098000,2015-01-03
Commercial revenue,2783000,2016-01-02
Commercial revenue,4312000,2016-12-31
Franchise fees,2531000,2015-01-03
Franchise fees,2196000,2016-01-02
Franchise fees,2299000,2016-12-31
us-gaap_Revenues,392354000,2015-01-03
us-gaap_Revenues,377694000,2016-01-02
us-gaap_Revenues,364204000,2016-12-31
"Selling, general and administrative",163262000,2015-01-03
"Selling, general and administrative",159612000,2016-01-02
"Selling, general and administrative",157174000,2016-12-31
Store preopening,1183000,2015-01-03
Store preopening,1851000,2016-01-02
Store preopening,3549000,2016-12-31
us-gaap_InterestIncomeExpenseNonoperatingNet,-53000,2015-01-03
us-gaap_InterestIncomeExpenseNonoperatingNet,143000,2016-01-02
us-gaap_InterestIncomeExpenseNonoperatingNet,-5000,2016-12-31
Total costs and expenses,376330000,2015-01-03
Total costs and expenses,359796000,2016-01-02
Total costs and expenses,358895000,2016-12-31
Income before income taxes,16024000,2015-01-03
Income before income taxes,17898000,2016-01-02
Income before income taxes,5309000,2016-12-31
Income tax (benefit) expense,1662000,2015-01-03
Income tax (benefit) expense,-9447000,2016-01-02
Income tax (benefit) expense,3932000,2016-12-31
Net income before allocation of earnings to participating securities,14362000,2015-01-03
Net income before allocation of earnings to participating securities,27345000,2016-01-02
Net income before allocation of earnings to participating securities,1377000,2016-12-31
"Basic income per common share attributable to Build-A-Bear Workshop, Inc. stockholders (in dollars per share)",0.82,2015-01-03
"Basic income per common share attributable to Build-A-Bear Workshop, Inc. stockholders (in dollars per share)",1.61,2016-01-02
"Basic income per common share attributable to Build-A-Bear Workshop, Inc. stockholders (in dollars per share)",0.09,2016-12-31
"Diluted income per common share attributable to Build-A-Bear Workshop, Inc. stockholders (in dollars per share)",0.81,2015-01-03
"Diluted income per common share attributable to Build-A-Bear Workshop, Inc. stockholders (in dollars per share)",1.59,2016-01-02
"Diluted income per common share attributable to Build-A-Bear Workshop, Inc. stockholders (in dollars per share)",0.09,2016-12-31
Weighted average number of common shares outstanding - basic (in shares),16908001,2015-01-03
Weighted average number of common shares outstanding - basic (in shares),16642269,2016-01-02
Weighted average number of common shares outstanding - basic (in shares),15442086,2016-12-31
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,17133811,2015-01-03
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,16867356,2016-01-02
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,15622273,2016-12-31
