Metric,Amount,endDate
us-gaap_SalesRevenueGoodsNet,60299000,2014-12-31
us-gaap_SalesRevenueGoodsNet,77022000,2015-12-31
us-gaap_SalesRevenueGoodsNet,99028000,2016-12-31
us-gaap_SalesRevenueServicesNet,17839000,2014-12-31
us-gaap_SalesRevenueServicesNet,17800000,2014-12-31
us-gaap_SalesRevenueServicesNet,17739000,2015-12-31
us-gaap_SalesRevenueServicesNet,19028000,2016-12-31
us-gaap_Revenues,78138000,2014-12-31
us-gaap_Revenues,19071000,2015-03-31
us-gaap_Revenues,94761000,2015-12-31
us-gaap_Revenues,22563000,2015-06-30
us-gaap_Revenues,23085000,2015-09-30
us-gaap_Revenues,30042000,2015-12-31
us-gaap_Revenues,22423000,2016-03-31
us-gaap_Revenues,118056000,2016-12-31
us-gaap_Revenues,27477000,2016-06-30
us-gaap_Revenues,30281000,2016-09-30
us-gaap_Revenues,37875000,2016-12-31
Products,26796000,2014-12-31
Products,32402000,2015-12-31
Products,40149000,2016-12-31
Service,7969000,2014-12-31
Service,8076000,2015-12-31
Service,9772000,2016-12-31
us-gaap_CostOfRevenue,34765000,2014-12-31
us-gaap_CostOfRevenue,9052000,2015-03-31
us-gaap_CostOfRevenue,40478000,2015-12-31
us-gaap_CostOfRevenue,9687000,2015-06-30
us-gaap_CostOfRevenue,9594000,2015-09-30
us-gaap_CostOfRevenue,12145000,2015-12-31
us-gaap_CostOfRevenue,9949000,2016-03-31
us-gaap_CostOfRevenue,49921000,2016-12-31
us-gaap_CostOfRevenue,11472000,2016-06-30
us-gaap_CostOfRevenue,12538000,2016-09-30
us-gaap_CostOfRevenue,15962000,2016-12-31
Gross profit,43373000,2014-12-31
Gross profit,10019000,2015-03-31
Gross profit,54283000,2015-12-31
Gross profit,12876000,2015-06-30
Gross profit,13491000,2015-09-30
Gross profit,17897000,2015-12-31
Gross profit,12474000,2016-03-31
Gross profit,68135000,2016-12-31
Gross profit,16005000,2016-06-30
Gross profit,17743000,2016-09-30
Gross profit,21913000,2016-12-31
Sales and marketing,32246000,2014-12-31
Sales and marketing,8187000,2015-03-31
Sales and marketing,35942000,2015-12-31
Sales and marketing,9066000,2015-06-30
Sales and marketing,8790000,2015-09-30
Sales and marketing,9899000,2015-12-31
Sales and marketing,8716000,2016-03-31
Sales and marketing,41563000,2016-12-31
Sales and marketing,10712000,2016-06-30
Sales and marketing,10574000,2016-09-30
Sales and marketing,11561000,2016-12-31
Research and development,10543000,2014-12-31
Research and development,2445000,2015-03-31
Research and development,10733000,2015-12-31
Research and development,2728000,2015-06-30
Research and development,2748000,2015-09-30
Research and development,2812000,2015-12-31
Research and development,2709000,2016-03-31
Research and development,11232000,2016-12-31
Research and development,2712000,2016-06-30
Research and development,2914000,2016-09-30
Research and development,2897000,2016-12-31
General and administrative,11203000,2014-12-31
General and administrative,2989000,2015-03-31
General and administrative,12129000,2015-12-31
General and administrative,3014000,2015-06-30
General and administrative,2937000,2015-09-30
General and administrative,3189000,2015-12-31
General and administrative,3220000,2016-03-31
General and administrative,12943000,2016-12-31
General and administrative,3997000,2016-06-30
General and administrative,2716000,2016-09-30
General and administrative,3010000,2016-12-31
Total operating expenses,53992000,2014-12-31
Total operating expenses,13621000,2015-03-31
Total operating expenses,58804000,2015-12-31
Total operating expenses,14808000,2015-06-30
Total operating expenses,14475000,2015-09-30
Total operating expenses,15900000,2015-12-31
Total operating expenses,14645000,2016-03-31
Total operating expenses,65738000,2016-12-31
Total operating expenses,17421000,2016-06-30
Total operating expenses,16204000,2016-09-30
Total operating expenses,17468000,2016-12-31
Income (loss) from operations,-10619000,2014-12-31
Income (loss) from operations,-3602000,2015-03-31
Income (loss) from operations,-4521000,2015-12-31
Income (loss) from operations,-1932000,2015-06-30
Income (loss) from operations,-984000,2015-09-30
Income (loss) from operations,1997000,2015-12-31
Income (loss) from operations,-2171000,2016-03-31
Income (loss) from operations,2397000,2016-12-31
Income (loss) from operations,-1416000,2016-06-30
Income (loss) from operations,1539000,2016-09-30
Income (loss) from operations,4445000,2016-12-31
"Interest and other income, net",226000,2014-12-31
"Interest and other income, net",8000,2015-03-31
"Interest and other income, net",293000,2015-12-31
"Interest and other income, net",96000,2015-06-30
"Interest and other income, net",84000,2015-09-30
"Interest and other income, net",105000,2015-12-31
"Interest and other income, net",144000,2016-03-31
"Interest and other income, net",323000,2016-12-31
"Interest and other income, net",217000,2016-06-30
"Interest and other income, net",166000,2016-09-30
"Interest and other income, net",-204000,2016-12-31
Income (loss) before income taxes,-10393000,2014-12-31
Income (loss) before income taxes,-3594000,2015-03-31
Income (loss) before income taxes,-4228000,2015-12-31
Income (loss) before income taxes,-1836000,2015-06-30
Income (loss) before income taxes,-900000,2015-09-30
Income (loss) before income taxes,2102000,2015-12-31
Income (loss) before income taxes,-2027000,2016-03-31
Income (loss) before income taxes,2720000,2016-12-31
Income (loss) before income taxes,-1199000,2016-06-30
Income (loss) before income taxes,1705000,2016-09-30
Income (loss) before income taxes,4241000,2016-12-31
Income tax provision,219000,2014-12-31
Income tax provision,50000,2015-03-31
Income tax provision,212000,2015-12-31
Income tax provision,53000,2015-06-30
Income tax provision,57000,2015-09-30
Income tax provision,52000,2015-12-31
Income tax provision,24000,2016-03-31
Income tax provision,143000,2016-12-31
Income tax provision,30000,2016-06-30
Income tax provision,61000,2016-09-30
Income tax provision,28000,2016-12-31
Net income (loss),-10612000,2014-12-31
Net income (loss),-3644000,2015-03-31
Net income (loss),-4440000,2015-12-31
Net income (loss),-1889000,2015-06-30
Net income (loss),-957000,2015-09-30
Net income (loss),2050000,2015-12-31
Net income (loss),-2051000,2016-03-31
Net income (loss),2577000,2016-12-31
Net income (loss),-1229000,2016-06-30
Net income (loss),1644000,2016-09-30
Net income (loss),4213000,2016-12-31
Basic (in dollars per share),-0.74,2014-12-31
Basic (in dollars per share),-0.25,2015-03-31
Basic (in dollars per share),-0.32,2015-12-31
Basic (in dollars per share),-0.13,2015-06-30
Basic (in dollars per share),-0.07,2015-09-30
Basic (in dollars per share),0.16,2015-12-31
Basic (in dollars per share),-0.16,2016-03-31
Basic (in dollars per share),0.19,2016-12-31
Basic (in dollars per share),-0.09,2016-06-30
Basic (in dollars per share),0.12,2016-09-30
Basic (in dollars per share),0.31,2016-12-31
Diluted (in dollars per share),-0.74,2014-12-31
Diluted (in dollars per share),-0.25,2015-03-31
Diluted (in dollars per share),-0.32,2015-12-31
Diluted (in dollars per share),-0.13,2015-06-30
Diluted (in dollars per share),-0.07,2015-09-30
Diluted (in dollars per share),0.15,2015-12-31
Diluted (in dollars per share),-0.16,2016-03-31
Diluted (in dollars per share),0.19,2016-12-31
Diluted (in dollars per share),-0.09,2016-06-30
Diluted (in dollars per share),0.12,2016-09-30
Diluted (in dollars per share),0.30,2016-12-31
Basic (in shares),14254000,2014-12-31
Basic (in shares),14611000,2015-03-31
Basic (in shares),13960000,2015-12-31
Basic (in shares),14441000,2015-06-30
Basic (in shares),13827000,2015-09-30
Basic (in shares),12978000,2015-12-31
Basic (in shares),13010000,2016-03-31
Basic (in shares),13225000,2016-12-31
Basic (in shares),13131000,2016-06-30
Basic (in shares),13163000,2016-09-30
Basic (in shares),13591000,2016-12-31
Diluted (in shares),14254000,2014-12-31
Diluted (in shares),14611000,2015-03-31
Diluted (in shares),13960000,2015-12-31
Diluted (in shares),14441000,2015-06-30
Diluted (in shares),13827000,2015-09-30
Diluted (in shares),13591000,2015-12-31
Diluted (in shares),13010000,2016-03-31
Diluted (in shares),13753000,2016-12-31
Diluted (in shares),13131000,2016-06-30
Diluted (in shares),13544000,2016-09-30
Diluted (in shares),14201000,2016-12-31
