Metric,Amount,endDate
Cargo and Freight Revenue,1770684000,2014-12-31
Cargo and Freight Revenue,1663090000,2015-12-31
Cargo and Freight Revenue,1471893000,2016-12-31
Revenue Repair And Sale Of Diesel Engine And Related Parts,795634000,2014-12-31
Revenue Repair And Sale Of Diesel Engine And Related Parts,484442000,2015-12-31
Revenue Repair And Sale Of Diesel Engine And Related Parts,298780000,2016-12-31
Revenues,2566318000,2014-12-31
Revenues,587673000,2015-03-31
Revenues,2147532000,2015-12-31
Revenues,543156000,2015-06-30
Revenues,532565000,2015-09-30
Revenues,484138000,2015-12-31
Revenues,458733000,2016-03-31
Revenues,1770673000,2016-12-31
Revenues,441582000,2016-06-30
Revenues,434708000,2016-09-30
Revenues,435650000,2016-12-31
Costs Of Sales And Operating Expenses,1694882000,2014-12-31
Costs Of Sales And Operating Expenses,1362366000,2015-12-31
Costs Of Sales And Operating Expenses,1126952000,2016-12-31
"Selling, general and administrative",210416000,2014-12-31
"Selling, general and administrative",193237000,2015-12-31
"Selling, general and administrative",174752000,2016-12-31
"Taxes, Miscellaneous",16677000,2014-12-31
"Taxes, Miscellaneous",20699000,2015-12-31
"Taxes, Miscellaneous",22730000,2016-12-31
Depreciation and amortization,169312000,2014-12-31
Depreciation and amortization,192240000,2015-12-31
Depreciation and amortization,200917000,2016-12-31
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",781000,2014-12-31
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",1555000,2015-03-31
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",1672000,2015-12-31
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",91000,2015-06-30
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",-400000,2015-09-30
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",426000,2015-12-31
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",67000,2016-03-31
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",-127000,2016-12-31
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",94000,2016-06-30
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",-122000,2016-09-30
"Gain (Loss) on Disposition of Property Plant Equipment, Excluding Oil and Gas Property and Timber Property",-166000,2016-12-31
Costs and Expenses,2090506000,2014-12-31
Costs and Expenses,486136000,2015-03-31
Costs and Expenses,1766870000,2015-12-31
Costs and Expenses,445113000,2015-06-30
Costs and Expenses,437115000,2015-09-30
