Metric,Amount,endDate
Net sales,520674000,2014-09-30
Net sales,145887000,2014-12-31
Net sales,624678000,2015-09-30
Net sales,157744000,2015-03-31
Net sales,158650000,2015-06-30
Net sales,162397000,2015-09-30
Net sales,167786000,2015-12-31
Net sales,705499000,2016-09-30
Net sales,177395000,2016-03-31
Net sales,179274000,2016-06-30
Net sales,181044000,2016-09-30
Cost of goods sold and occupancy costs,369172000,2014-09-30
Cost of goods sold and occupancy costs,103593000,2014-12-31
Cost of goods sold and occupancy costs,442582000,2015-09-30
Cost of goods sold and occupancy costs,110874000,2015-03-31
Cost of goods sold and occupancy costs,112508000,2015-06-30
Cost of goods sold and occupancy costs,115607000,2015-09-30
Cost of goods sold and occupancy costs,119491000,2015-12-31
Cost of goods sold and occupancy costs,503727000,2016-09-30
Cost of goods sold and occupancy costs,125792000,2016-03-31
Cost of goods sold and occupancy costs,128344000,2016-06-30
Cost of goods sold and occupancy costs,130100000,2016-09-30
us-gaap_GrossProfit,151502000,2014-09-30
us-gaap_GrossProfit,42294000,2014-12-31
us-gaap_GrossProfit,182096000,2015-09-30
us-gaap_GrossProfit,46870000,2015-03-31
us-gaap_GrossProfit,46142000,2015-06-30
us-gaap_GrossProfit,46790000,2015-09-30
us-gaap_GrossProfit,48295000,2015-12-31
us-gaap_GrossProfit,201772000,2016-09-30
us-gaap_GrossProfit,51603000,2016-03-31
us-gaap_GrossProfit,50930000,2016-06-30
us-gaap_GrossProfit,50944000,2016-09-30
Store expenses,108657000,2014-09-30
Store expenses,31049000,2014-12-31
Store expenses,132131000,2015-09-30
Store expenses,32461000,2015-03-31
Store expenses,33508000,2015-06-30
Store expenses,35113000,2015-09-30
Store expenses,35899000,2015-12-31
Store expenses,156158000,2016-09-30
Store expenses,38774000,2016-03-31
Store expenses,40095000,2016-06-30
Store expenses,41390000,2016-09-30
Administrative expenses,14823000,2014-09-30
Administrative expenses,4227000,2014-12-31
Administrative expenses,17514000,2015-09-30
Administrative expenses,4156000,2015-03-31
Administrative expenses,4322000,2015-06-30
Administrative expenses,4809000,2015-09-30
Administrative expenses,4754000,2015-12-31
Administrative expenses,19242000,2016-09-30
Administrative expenses,4936000,2016-03-31
Administrative expenses,4813000,2016-06-30
Administrative expenses,4739000,2016-09-30
Pre-opening and relocation expenses,3774000,2014-09-30
Pre-opening and relocation expenses,577000,2014-12-31
Pre-opening and relocation expenses,3822000,2015-09-30
Pre-opening and relocation expenses,870000,2015-03-31
Pre-opening and relocation expenses,1078000,2015-06-30
Pre-opening and relocation expenses,1297000,2015-09-30
Pre-opening and relocation expenses,948000,2015-12-31
Pre-opening and relocation expenses,5993000,2016-09-30
Pre-opening and relocation expenses,1444000,2016-03-31
Pre-opening and relocation expenses,2007000,2016-06-30
Pre-opening and relocation expenses,1594000,2016-09-30
us-gaap_OperatingIncomeLoss,24248000,2014-09-30
us-gaap_OperatingIncomeLoss,6441000,2014-12-31
us-gaap_OperatingIncomeLoss,28629000,2015-09-30
us-gaap_OperatingIncomeLoss,9383000,2015-03-31
us-gaap_OperatingIncomeLoss,7234000,2015-06-30
us-gaap_OperatingIncomeLoss,5571000,2015-09-30
us-gaap_OperatingIncomeLoss,6694000,2015-12-31
us-gaap_OperatingIncomeLoss,20379000,2016-09-30
us-gaap_OperatingIncomeLoss,6449000,2016-03-31
us-gaap_OperatingIncomeLoss,4015000,2016-06-30
us-gaap_OperatingIncomeLoss,3221000,2016-09-30
Dividends and interest income,2000,2014-09-30
Dividends and interest income,,2015-09-30
Dividends and interest income,,2016-09-30
us-gaap_InterestExpense,2496000,2014-09-30
us-gaap_InterestExpense,735000,2014-12-31
us-gaap_InterestExpense,2993000,2015-09-30
us-gaap_InterestExpense,714000,2015-03-31
us-gaap_InterestExpense,768000,2015-06-30
us-gaap_InterestExpense,776000,2015-09-30
us-gaap_InterestExpense,653000,2015-12-31
us-gaap_InterestExpense,3044000,2016-09-30
us-gaap_InterestExpense,733000,2016-03-31
us-gaap_InterestExpense,768000,2016-06-30
us-gaap_InterestExpense,890000,2016-09-30
us-gaap_OtherNonoperatingExpense,2494000,2014-09-30
us-gaap_OtherNonoperatingExpense,2993000,2015-09-30
us-gaap_OtherNonoperatingExpense,3044000,2016-09-30
