Metric,Amount,endDate
"Service revenue, net",1092880000,2014-12-31
"Service revenue, net",362398000,2015-03-31
"Service revenue, net",1478010000,2015-12-31
"Service revenue, net",362834000,2015-06-30
"Service revenue, net",379568000,2015-09-30
"Service revenue, net",373210000,2015-12-31
"Service revenue, net",382058000,2016-03-31
"Service revenue, net",1578889000,2016-12-31
"Service revenue, net",398359000,2016-06-30
"Service revenue, net",412512000,2016-09-30
"Service revenue, net",385960000,2016-12-31
Service expense,988600000,2014-12-31
Service expense,1381154000,2015-12-31
Service expense,1452754000,2016-12-31
General and administrative expense,44080000,2014-12-31
General and administrative expense,70986000,2015-12-31
General and administrative expense,69911000,2016-12-31
prsc_AssetImpairmentChargesContinuingOperations,,2014-12-31
prsc_AssetImpairmentChargesContinuingOperations,,2015-12-31
prsc_AssetImpairmentChargesContinuingOperations,21003000,2016-12-31
Depreciation and amortization,17213000,2014-12-31
Depreciation and amortization,23998000,2015-12-31
Depreciation and amortization,26604000,2016-12-31
us-gaap_OperatingExpenses,1049893000,2014-12-31
us-gaap_OperatingExpenses,1476138000,2015-12-31
us-gaap_OperatingExpenses,1570272000,2016-12-31
us-gaap_OperatingIncomeLoss,42987000,2014-12-31
us-gaap_OperatingIncomeLoss,14259000,2015-03-31
us-gaap_OperatingIncomeLoss,1872000,2015-12-31
us-gaap_OperatingIncomeLoss,8870000,2015-06-30
us-gaap_OperatingIncomeLoss,2582000,2015-09-30
us-gaap_OperatingIncomeLoss,-23839000,2015-12-31
us-gaap_OperatingIncomeLoss,8304000,2016-03-31
us-gaap_OperatingIncomeLoss,8617000,2016-12-31
us-gaap_OperatingIncomeLoss,6712000,2016-06-30
us-gaap_OperatingIncomeLoss,9793000,2016-09-30
us-gaap_OperatingIncomeLoss,-16192000,2016-12-31
us-gaap_InterestIncomeExpenseNet,-10224000,2014-12-31
us-gaap_InterestIncomeExpenseNet,-1853000,2015-12-31
us-gaap_InterestIncomeExpenseNet,-1583000,2016-12-31
us-gaap_IncomeLossFromEquityMethodInvestments,,2014-12-31
us-gaap_IncomeLossFromEquityMethodInvestments,-10970000,2015-12-31
us-gaap_IncomeLossFromEquityMethodInvestments,-10287000,2016-12-31
us-gaap_ForeignCurrencyTransactionGainLossBeforeTax,37000,2014-12-31
us-gaap_ForeignCurrencyTransactionGainLossBeforeTax,857000,2015-12-31
us-gaap_ForeignCurrencyTransactionGainLossBeforeTax,1375000,2016-12-31
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,32800000,2014-12-31
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-10094000,2015-12-31
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1878000,2016-12-31
Provision for income taxes,8289000,2014-12-31
Provision for income taxes,14583000,2015-12-31
Provision for income taxes,17036000,2016-12-31
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,24511000,2014-12-31
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,4359000,2015-03-31
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-24677000,2015-12-31
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3450000,2015-06-30
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-3905000,2015-09-30
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-28581000,2015-12-31
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,1376000,2016-03-31
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-18914000,2016-12-31
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,1624000,2016-06-30
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,3743000,2016-09-30
us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-25657000,2016-12-31
"Discontinued operations, net of tax",-4236000,2014-12-31
"Discontinued operations, net of tax",1889000,2015-03-31
"Discontinued operations, net of tax",107871000,2015-12-31
"Discontinued operations, net of tax",3125000,2015-06-30
"Discontinued operations, net of tax",-1505000,2015-09-30
"Discontinued operations, net of tax",104362000,2015-12-31
"Discontinued operations, net of tax",753000,2016-03-31
"Discontinued operations, net of tax",108760000,2016-12-31
"Discontinued operations, net of tax",2370000,2016-06-30
"Discontinued operations, net of tax",-2791000,2016-09-30
"Discontinued operations, net of tax",108428000,2016-12-31
Net income,20275000,2014-12-31
Net income,83194000,2015-12-31
Net income,89846000,2016-12-31
Noncontrolling interests,,2014-12-31
Noncontrolling interests,-502000,2015-12-31
Noncontrolling interests,-2082000,2016-12-31
Net income attributable to Providence,20275000,2014-12-31
Net income attributable to Providence,6236000,2015-03-31
Net income attributable to Providence,83696000,2015-12-31
Net income attributable to Providence,6634000,2015-06-30
Net income attributable to Providence,-5571000,2015-09-30
Net income attributable to Providence,76396000,2015-12-31
Net income attributable to Providence,2235000,2016-03-31
Net income attributable to Providence,91928000,2016-12-31
Net income attributable to Providence,4623000,2016-06-30
Net income attributable to Providence,650000,2016-09-30
Net income attributable to Providence,84420000,2016-12-31
us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,20275000,2014-12-31
us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,67999000,2015-12-31
us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,74374000,2016-12-31
Continuing operations (in dollars per share),1.66,2014-12-31
Continuing operations (in dollars per share),-1.83,2015-12-31
Continuing operations (in dollars per share),-1.45,2016-12-31
Discontinued operations (in dollars per share),-0.29,2014-12-31
Discontinued operations (in dollars per share),6.09,2015-12-31
