Metric,Amount,endDate
"Revenue, before fuel surcharge",316584000,2014-12-31
"Revenue, before fuel surcharge",355403000,2015-12-31
"Revenue, before fuel surcharge",382737000,2016-12-31
Fuel surcharge,94353000,2014-12-31
Fuel surcharge,61647000,2015-12-31
Fuel surcharge,50115000,2016-12-31
us-gaap_Revenues,410937000,2014-12-31
us-gaap_Revenues,99483000,2015-03-31
us-gaap_Revenues,417050000,2015-12-31
us-gaap_Revenues,108033000,2015-06-30
us-gaap_Revenues,107110000,2015-09-30
us-gaap_Revenues,102424000,2015-12-31
us-gaap_Revenues,103589000,2016-03-31
us-gaap_Revenues,432852000,2016-12-31
us-gaap_Revenues,111516000,2016-06-30
us-gaap_Revenues,109393000,2016-09-30
us-gaap_Revenues,108354000,2016-12-31
"Salaries, wages and benefits",108371000,2014-12-31
"Salaries, wages and benefits",105943000,2015-12-31
"Salaries, wages and benefits",112235000,2016-12-31
Operating supplies and expenses,126875000,2014-12-31
Operating supplies and expenses,89878000,2015-12-31
Operating supplies and expenses,82993000,2016-12-31
Rents and purchased transportation,90831000,2014-12-31
Rents and purchased transportation,134188000,2015-12-31
Rents and purchased transportation,158298000,2016-12-31
Depreciation,36296000,2014-12-31
Depreciation,32346000,2015-12-31
Depreciation,39114000,2016-12-31
Insurance and claims,20274000,2014-12-31
Insurance and claims,15315000,2015-12-31
Insurance and claims,16632000,2016-12-31
us-gaap_OtherCostOfOperatingRevenue,9871000,2014-12-31
us-gaap_OtherCostOfOperatingRevenue,8904000,2015-12-31
us-gaap_OtherCostOfOperatingRevenue,8352000,2016-12-31
us-gaap_GainLossOnDispositionOfAssets,4591000,2014-12-31
us-gaap_GainLossOnDispositionOfAssets,5754000,2015-12-31
us-gaap_GainLossOnDispositionOfAssets,4700000,2016-12-31
us-gaap_CostsAndExpenses,387927000,2014-12-31
us-gaap_CostsAndExpenses,90336000,2015-03-31
us-gaap_CostsAndExpenses,380820000,2015-12-31
us-gaap_CostsAndExpenses,96151000,2015-06-30
us-gaap_CostsAndExpenses,96884000,2015-09-30
us-gaap_CostsAndExpenses,97449000,2015-12-31
us-gaap_CostsAndExpenses,98003000,2016-03-31
us-gaap_CostsAndExpenses,412924000,2016-12-31
us-gaap_CostsAndExpenses,104162000,2016-06-30
us-gaap_CostsAndExpenses,104098000,2016-09-30
us-gaap_CostsAndExpenses,106661000,2016-12-31
us-gaap_OperatingIncomeLoss,23010000,2014-12-31
us-gaap_OperatingIncomeLoss,9147000,2015-03-31
us-gaap_OperatingIncomeLoss,36230000,2015-12-31
us-gaap_OperatingIncomeLoss,11882000,2015-06-30
us-gaap_OperatingIncomeLoss,10226000,2015-09-30
us-gaap_OperatingIncomeLoss,4975000,2015-12-31
us-gaap_OperatingIncomeLoss,5586000,2016-03-31
us-gaap_OperatingIncomeLoss,19928000,2016-12-31
us-gaap_OperatingIncomeLoss,7354000,2016-06-30
us-gaap_OperatingIncomeLoss,5295000,2016-09-30
us-gaap_OperatingIncomeLoss,1693000,2016-12-31
NON-OPERATING INCOME,2099000,2014-12-31
NON-OPERATING INCOME,245000,2015-03-31
NON-OPERATING INCOME,1516000,2015-12-31
NON-OPERATING INCOME,272000,2015-06-30
NON-OPERATING INCOME,-132000,2015-09-30
NON-OPERATING INCOME,1131000,2015-12-31
