Metric,Amount,endDate
Net sales,139307000,2014-12-31
Net sales,33977000,2015-03-31
Net sales,138850000,2015-12-31
Net sales,36499000,2015-06-30
Net sales,34441000,2015-09-30
Net sales,33933000,2015-12-31
Net sales,34503000,2016-03-31
Net sales,146132000,2016-12-31
Net sales,37902000,2016-06-30
Net sales,37220000,2016-09-30
Net sales,36507000,2016-12-31
Cost of sales,102427000,2014-12-31
Cost of sales,101396000,2015-12-31
Cost of sales,111482000,2016-12-31
Gross profit,36880000,2014-12-31
Gross profit,8638000,2015-03-31
Gross profit,37454000,2015-12-31
Gross profit,10293000,2015-06-30
Gross profit,9510000,2015-09-30
Gross profit,9013000,2015-12-31
Gross profit,7727000,2016-03-31
Gross profit,34650000,2016-12-31
Gross profit,10295000,2016-06-30
Gross profit,8452000,2016-09-30
Gross profit,8176000,2016-12-31
"Selling, general, and administrative expenses",23847000,2014-12-31
"Selling, general, and administrative expenses",24008000,2015-12-31
"Selling, general, and administrative expenses",24105000,2016-12-31
Restructuring costs,1556000,2014-12-31
Restructuring costs,1756000,2015-12-31
Restructuring costs,420000,2016-12-31
us-gaap_GainLossRelatedToLitigationSettlement,,2014-12-31
us-gaap_GainLossRelatedToLitigationSettlement,,2015-12-31
us-gaap_GainLossRelatedToLitigationSettlement,2114000,2016-12-31
us-gaap_GainLossOnSaleOfPropertyPlantEquipment,84000,2014-12-31
us-gaap_GainLossOnSaleOfPropertyPlantEquipment,24000,2015-12-31
us-gaap_GainLossOnSaleOfPropertyPlantEquipment,-2000,2016-12-31
us-gaap_OperatingIncomeLoss,11561000,2014-12-31
us-gaap_OperatingIncomeLoss,11714000,2015-12-31
us-gaap_OperatingIncomeLoss,12237000,2016-12-31
us-gaap_InvestmentIncomeInterest,46000,2014-12-31
us-gaap_InvestmentIncomeInterest,114000,2015-12-31
us-gaap_InvestmentIncomeInterest,149000,2016-12-31
Interest expense,154000,2014-12-31
Interest expense,87000,2015-12-31
Interest expense,69000,2016-12-31
us-gaap_OtherNonoperatingIncomeExpense,312000,2014-12-31
us-gaap_OtherNonoperatingIncomeExpense,,2015-12-31
us-gaap_OtherNonoperatingIncomeExpense,,2016-12-31
us-gaap_NonoperatingIncomeExpense,204000,2014-12-31
us-gaap_NonoperatingIncomeExpense,27000,2015-12-31
us-gaap_NonoperatingIncomeExpense,80000,2016-12-31
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,11765000,2014-12-31
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,11741000,2015-12-31
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,12317000,2016-12-31
Income tax expense,4206000,2014-12-31
Income tax expense,4148000,2015-12-31
Income tax expense,4347000,2016-12-31
us-gaap_NetIncomeLoss,7559000,2014-12-31
us-gaap_NetIncomeLoss,7593000,2015-12-31
us-gaap_NetIncomeLoss,7970000,2016-12-31
Basic (in dollars per share),1.08,2014-12-31
Basic (in dollars per share),0.23,2015-03-31
Basic (in dollars per share),1.07,2015-12-31
Basic (in dollars per share),0.32,2015-06-30
Basic (in dollars per share),0.28,2015-09-30
Basic (in dollars per share),0.24,2015-12-31
Basic (in dollars per share),0.15,2016-03-31
Basic (in dollars per share),1.11,2016-12-31
Basic (in dollars per share),0.38,2016-06-30
Basic (in dollars per share),0.37,2016-09-30
Basic (in dollars per share),0.21,2016-12-31
Diluted (in dollars per share),1.05,2014-12-31
Diluted (in dollars per share),0.23,2015-03-31
Diluted (in dollars per share),1.05,2015-12-31
Diluted (in dollars per share),0.32,2015-06-30
Diluted (in dollars per share),0.28,2015-09-30
Diluted (in dollars per share),0.23,2015-12-31
Diluted (in dollars per share),0.15,2016-03-31
Diluted (in dollars per share),1.10,2016-12-31
Diluted (in dollars per share),0.38,2016-06-30
Diluted (in dollars per share),0.37,2016-09-30
Diluted (in dollars per share),0.20,2016-12-31
Basic weighted average common shares outstanding during the year (in shares),7028000,2014-12-31
Basic weighted average common shares outstanding during the year (in shares),7102000,2015-12-31
Basic weighted average common shares outstanding during the year (in shares),7190000,2016-12-31
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,7175000,2014-12-31
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,7206000,2015-12-31
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,7275000,2016-12-31
