"","Date","Weekly_US_Net_Imports_000s","Weekly_US_Total_Imports_000s"
"1000",2001-11-11,"9639","9669"
"1001",2001-11-18,"8879","8909"
"1002",2001-11-25,"8187","8217"
"1003",2001-12-02,"9856","9891"
"1004",2001-12-09,"8966","9001"
"1005",2001-12-16,"8772","8807"
"1006",2001-12-23,"8657","8692"
"1007",2001-12-30,"8132","8167"
"1008",2002-01-06,"8628","8662"
"1009",2002-01-13,"8483","8517"
"1010",2002-01-20,"9153","9187"
"1011",2002-01-27,"8555","8589"
"1012",2002-02-03,"8562","8595"
"1013",2002-02-10,"9260","9293"
"1014",2002-02-17,"8001","8034"
"1015",2002-02-24,"8062","8095"
"1016",2002-03-03,"8168","8201"
"1017",2002-03-10,"8127","8160"
"1018",2002-03-17,"8415","8448"
"1019",2002-03-24,"7825","7858"
"1020",2002-03-31,"9094","9127"
"1021",2002-04-07,"8816","8849"
"1022",2002-04-14,"8232","8265"
"1023",2002-04-21,"9100","9133"
"1024",2002-04-28,"9376","9409"
"1025",2002-05-05,"9128","9160"
"1026",2002-05-12,"8733","8765"
"1027",2002-05-19,"9069","9101"
"1028",2002-05-26,"8812","8844"
"1029",2002-06-02,"9135","9165"
"1030",2002-06-09,"8700","8730"
"1031",2002-06-16,"9188","9218"
"1032",2002-06-23,"9000","9030"
"1033",2002-06-30,"9561","9591"
"1034",2002-07-07,"8387","8417"
"1035",2002-07-14,"9133","9163"
"1036",2002-07-21,"9196","9226"
"1037",2002-07-28,"9138","9168"
"1038",2002-08-04,"8656","8686"
"1039",2002-08-11,"9163","9193"
"1040",2002-08-18,"9368","9398"
"1041",2002-08-25,"9170","9200"
"1042",2002-09-01,"9204","9233"
"1043",2002-09-08,"8310","8339"
"1044",2002-09-15,"8636","8665"
"1045",2002-09-22,"8924","8953"
"1046",2002-09-29,"8480","8509"
"1047",2002-10-06,"8161","8191"
"1048",2002-10-13,"9472","9502"
"1049",2002-10-20,"9962","9992"
"1050",2002-10-27,"9005","9015"
"1051",2002-11-03,"9089","9099"
"1052",2002-11-10,"9167","9177"
"1053",2002-11-17,"10149","10159"
"1054",2002-11-24,"8947","8957"
"1055",2002-12-01,"9493","9503"
"1056",2002-12-08,"9872","9882"
"1057",2002-12-15,"9403","9413"
"1058",2002-12-22,"9135","9145"
"1059",2002-12-29,"7621","7631"
"1060",2003-01-05,"8279","8289"
"1061",2003-01-12,"8479","8489"
"1062",2003-01-19,"8735","8745"
"1063",2003-01-26,"8668","8678"
"1064",2003-02-02,"8369","8379"
"1065",2003-02-09,"7187","7197"
"1066",2003-02-16,"8752","8762"
"1067",2003-02-23,"8315","8325"
"1068",2003-03-02,"8669","8679"
"1069",2003-03-09,"7611","7621"
"1070",2003-03-16,"8683","8693"
"1071",2003-03-23,"9645","9655"
"1072",2003-03-30,"10351","10361"
"1073",2003-04-06,"8907","8917"
"1074",2003-04-13,"9395","9405"
"1075",2003-04-20,"10604","10614"
"1076",2003-04-27,"9659","9669"
"1077",2003-05-04,"9846","9856"
"1078",2003-05-11,"9324","9334"
"1079",2003-05-18,"10063","10073"
"1080",2003-05-25,"10031","10041"
"1081",2003-06-01,"10511","10521"
"1082",2003-06-08,"9874","9884"
"1083",2003-06-15,"10292","10302"
"1084",2003-06-22,"9322","9332"
"1085",2003-06-29,"9456","9466"
"1086",2003-07-06,"9589","9599"
"1087",2003-07-13,"9722","9732"
"1088",2003-07-20,"9431","9441"
"1089",2003-07-27,"10074","10084"
"1090",2003-08-03,"10284","10294"
"1091",2003-08-10,"9960","9970"
"1092",2003-08-17,"9858","9868"
"1093",2003-08-24,"10236","10246"
